sentence	ambig_status	disambiguation_1	disambiguation_2
The professor admitted that no students wrote course evaluations, which is surprising.	1	It is surprising that the professor admitted that no students wrote course evaluations.	The professor admitted the surprising fact that no students wrote course evaluations.
Lilian and Tanaka have two balloons.	1	Lilian and Tanaka each have two balloons.	Lilian and Tanaka have two balloons, together.
In a democracy, the will of the people is supposed to be reflected in the government.	1	In a democracy, the will of the people is supposed to be reflected in the government, even though it isn't always.	In a democracy, the will of the people is supposed to be reflected in the government, whether or not it always is.
We all know that exercise is good for us, but few of us actually make the time to do it.	1	We specifically know that exercise is good for us, but few of us actually make the time to do it.	Everyone knows that exercise is good for us, but few of us actually make the time to do it.
The survey found that more than a third of Americans have a negative view of the news media.	1	The survey concluded that more than a third of Americans have a negative view of the news media.	The survey concluded that more than a third of Americans have a negative view of the news media.
These snakes get their name from the beautifully changing pattern on their bodies.	1	These snakes get their name from the beautifully changing pattern along their bodies.	These snakes get their name from the pattern on their bodies which beautifully changes over time.
In many ways, the American Revolution was a direct result of the Seven Years' War.	1	In many ways, though possibly not all ways, the American Revolution was a direct result of the Seven Years' War.	In many ways, though not all ways, the American Revolution was a direct result of the Seven Years' War.
The animal was not injured in the accident.	1	Though the animal was in the accident, it was not injured.	The animal was not injured in the accident, whether or not it was in the accident at all.
A possible explanation for his anger is that he was passed over for the promotion.	1	He was passed over for the promotion, which is a possible explanation for his anger.	It is possible that he was passed over for the promotion, which would explain his anger.
If an employee is fired for cause, the employer is not required to give the employee a severance package.	1	If an employee is fired for a cause, the employer is not required to give the employee a severance package; otherwise, the employer is required to do so.	At least in the case where an employee is fired for cause, the employer is not required to give the employee a severance package.
I always feel more comfortable when I am at home.	1	I always feel more comfortable when I am at home than anywhere else.	I always feel very comfortable when I am at home.
It was raining, so I stayed home.	1	It was raining, so I stayed home; otherwise I would have gone outside.	It was raining, so I stayed home, though there may have been other reasons too.
The data provides evidence that the treatment is effective.	1	The data provides evidence indicating that the treatment is effective.	The treatment is effective, and the data provides evidence for it.
They were driving too fast, and they got pulled over.	1	They were driving too fast, so they got pulled over.	They were driving too fast; also they got pulled over.
Then he sobered.	1	Then he became more sensible.	Then he sobered after drinking alcohol.
The market was empty of pork, grains, and all foods that were banned.	1	The market was empty of pork, grains, as well as all foods that were banned.	The market was empty of pork and grains, and all other foods that were banned.
This year has been a trying one for the country, with a devastating hurricane and an ongoing drought.	1	This year has been a trying one for the country, including a devastating hurricane and an ongoing drought.	This year has been a trying one for the country, because of a devastating hurricane and an ongoing drought.
They have a lot of friends in common.	1	They have a lot of friends in common, though they are not friends directly.	They have a lot of friends in common, whether or not they are friends themselves.
I think that it is a good idea.	1	I think that it is a good idea, and may or may not be a great one.	I think that it is a good, but not great, idea.
I heard that the cat was stuck in the tree.	1	I heard someone say that the cat was stuck in the tree.	I heard the sound of the cat stuck in the tree.
The vast majority of people who contract the virus will experience only mild or moderate symptoms.	1	The vast majority of people who contract the virus will experience only mild or moderate symptoms, though some will experience more severe ones.	The vast majority of people who contract the virus will experience only mild or moderate symptoms, though some will experience more severe ones.
It was as if she had been possessed by a demon.	1	She was acting like she had been possessed by a demon.	It was as if she had been possessed by a demon, though she was not.
The main goal is to find a cure for cancer.	1	The main goal is to find a cure for cancer as a disease, which may include preventing cancer in the first place.	The main goal is to find a cure for cancer after it has developed in the body.
She needed to know only what he told her.	1	He is the only one who told her what she needed to know.	What he told her is all she needed to know.
It is clear that our current education system is not preparing students for the real world.	1	It is clear that our current education system is not preparing students for the real world, which it should do.	It is clear that our current education system is not preparing students for the real world, whether or not that should be the aim.
It is hard to work together when you don't speak the same language.	1	It's hard to work together when you literally don't speak the same language.	It's hard to work together when you don't understand one another well.
We cannot simply sit by and watch as the world around us crumbles.	1	We cannot simply sit by and watch as the world around us crumbles; we must take action to prevent it.	We cannot simply sit by and watch as the world around us crumbles; we must take action of some sort, though not necessarily to prevent the crumbling.
Mykonos has had a head start as far as diving is concerned because it was never banned here (after all, there are no ancient sites to protect).	1	Mykonos has had a head start as far as diving is concerned because it was never banned here like it was in other places (after all, there are no ancient sites to protect).	Mykonos has had a head start as far as diving is concerned because it was never banned here, regardless of whether there were bans in other places (after all, there are no ancient sites to protect).
The turkey is ready to eat.	1	The turkey is ready to be eaten.	The turkey is ready to be fed.
The company's profits have tripled since it began its expansion into new markets.	1	The company's profits have tripled because it began its expansion into new markets.	The company's profits have tripled after it began its expansion into new markets, though the relationship is not necessarily causal.
I would like to finish the book sometime this year.	1	I would like to finish reading the book sometime this year.	I would like to finish writing the book sometime this year.
The box is unlockable.	1	The box is not lockable.	The box can be unlocked.
She told me her mom was in town two weeks ago.	1	She told me that two weeks ago, her mom was in town.	She told me two weeks ago that her mom was in town.
The study found that children who were read to more frequently had better reading comprehension skills.	1	The study demonstrated that children who were read to more frequently had better reading comprehension skills.	The study concluded that children who were read to more frequently had better reading comprehension skills.
Inflation is often caused by an increase in the money supply.	1	Inflation is often, but not always, caused by an increase in the money supply.	Inflation is often, perhaps always, caused by an increase in the money supply.
In the early days of the internet, web pages were simple and focused on delivering information.	1	In the early days of the internet, web pages were simple and focused on delivering information, which is not the case anymore.	At least in the early days of the internet, web pages were simple and focused on delivering information.
She was very close to her grandmother.	1	She had a very close relationship with her grandmother.	She was physically very close to her grandmother.
What we need is a change in attitude.	1	All we need is a change in attitude.	We need a change in attitude.
Many people in the town are unemployed.	1	There are many individuals in the town who are unemployed.	Many people in the town are unemployed relative to the overall population.
He is the strongest basketball player in the NBA.	1	He is the best basketball player in the NBA.	He is the physically strongest basketball player in the NBA.
It is not unheard of for a business to make a profit in its first year.	1	It is unexpected, but not unheard of, for a business to make a profit in its first year.	There are known cases where a business makes a profit in its first year.
The painting is a copy of the original.	1	The painting is a reproduction of the original.	The painting is a photocopy of the original.
In a large company, a vice president may be the only person who knows the exact location of every piece of equipment.	1	In a large company, a vice president knows the exact location of every piece of equipment, and may be the only one. 	In a large company, the vice president is the only one who might knowing the exact location of every piece of equipment.
I try to avoid talking to people when I'm in a bad mood.	1	I try to avoid talking to people when I'm in a bad mood, but not when I'm in a good mood.	I try to avoid talking to people when I'm in a bad mood, though I might when in a good mood too.
I saw a crane on my walk.	1	I saw a construction crane on my walk.	I saw a crane, as in the bird, on my walk.
Jenny and Zoe solved the puzzle.	1	Jenny and Zoe each solved the puzzle.	Jenny and Zoe solved the puzzle together.
After the battle, the knight found the body of the princess.	1	After the battle, the knight discovered that the princess had been killed in battle when he found her body.	After the battle, the knight located the body of the princess, who may have been dead since before the battle.
It is important to remember that you are not alone.	1	It is important to remember that you are not physically alone.	It is important to remember that you are not figuratively alone in this situation.
After the fire, the family was homeless and had to live in a hotel.	1	Due to the fire, the family became homeless and had to live in a hotel.	In the time after the fire, the family was homeless and had to live in a hotel.
I am afraid that we will have to cancel tomorrow's picnic.	1	I am sorry to share that we will have to cancel tomorrow's picnic.	I am worried that we will have to cancel tomorrow's picnic.
The crowd turned to the man on the stage.	1	The crowd turned to look at the man on the stage.	The crowd turned their bodies toward the man on the stage.
It can be inferred from this that he is not interested in the meeting.	1	This shows that he is not interested in the meeting.	One might infer from this that he is not interested in the meeting.
I don't like to drink coffee.	1	I don't like to drink coffee, which is why I don't.	I don't like to drink coffee, whether or not I actually drink it.
I don't think that the glass is half empty.	1	I don't think that the glass is half empty, metaphorically.	I don't think that the glass is exactly half empty.
I have to complete this report by 5 p.m.	1	I have to complete this report by 5 p.m. today.	I have to complete this report by 5 p.m. on the day that it's due
They found that the more TV people watched, the more likely they were to be obese.	1	They found that the more TV people watched, the more likely they were to become obese.	They found that the more TV people watched, the the more likely it was that they were obese.
The fact that he was able to do it without any training is a testament to his natural ability.	1	The fact that he was able to do it without any training is a testament to his natural ability alone.	The fact that he was able to do it without any training is a testament to his natural ability and possibly other attributes.
We haven't finished eating the cake yet.	1	We haven't finished eating the cake yet, but we've started.	We haven't finished eating the cake yet, but we've started.
They discovered that the plant had, for the first time, produced a new type of flower.	1	They discovered that the plant had produced a new type of flower, which it had never done before.	They discovered that the plant had produced a new type of flower that it had never produced before.
They wanted to make a statement about the way that the world is.	1	The statement they they wanted to make is about the way that the world is.	They wanted to make at least a statement about the way that the world is.
The fire started in the east wing of the building and spread quickly.	1	The fire originated in the east wing of the building and spread quickly.	The fire started its path through the building in the east wing and spread quickly.
The novel has been translated into more than twenty languages.	1	The novel has been translated into just over twenty languages.	The novel has been translated into more than twenty languages, possibly many more.
The burglar threatened the student with a knife.	1	The burglar used a knife to threaten the student.	The burglar threatened the student who has a knife.
Even if we do not agree with her methods, we must admire her for her tenacity.	1	Although we do not agree with her methods, we must admire her for her tenacity.	Even in the case that we do not agree with her methods, we must still admire her for her tenacity.
Many birds are attracted to the island because of the abundance of food.	1	Many birds are attracted to the island solely because of the abundance of food.	Many birds are attracted to the island in part because of the abundance of food.
Some people are under the impression that exercising in the morning is the best time to do so.	1	Some people are under the false impression that exercising in the morning is the best time to do so.	Some people believe that exercising in the morning is the best time to do so.
Social media has been shown to have a negative effect on self-esteem.	1	It has been revealed that social media has a negative effect on self-esteem.	Social media has been shown by some studies to have a negative effect on self-esteem.
A large number of people are employed in the tourism industry.	1	A large number of people in some group are employed in the tourism industry.	A large number of people in society are employed in the tourism industry.
One of the most important factors in the development of the American economy was the rise of the industry.	1	One of the most important factors in the development of the American economy was the rise of the industry, but it was not the single most important factor.	One of the most important factors, perhaps the single most important factor, in the development of the American economy was the rise of the industry.
If you have the correct tools, it's not difficult to fix the leaky faucet.	1	If you have the correct tools, it's not difficult to fix the leaky faucet; otherwise, it is difficult.	If you have the correct tools, it's not difficult to fix the leaky faucet; though it may not be difficult without tools, either.
This is not to say that the world is not a dangerous place.	1	This is not to say that the world is not a dangerous place, because it is.	This is not to say that the world is not a dangerous place, though it may be true.
I am failing English.	1	I am going to fail English.	I currently have a failing grade in English.
The report provides detailed evidence of the progress made in the last year.	1	The report provides detailed evidence of the good progress made in the last year.	The report provides detailed evidence of the kind of progress made in the last year.
An enranged cow injured a farmer with an ax.	1	An enranged cow used an ax to injure a farmer.	An enranged cow injured a farmer who had an ax.
I don't think that's a very good idea.	1	I think that's a bad idea.	I don't think that's a very good idea, but it may not be a bad one.
The conference will be held in Detroit on October 12.	1	The conference will be held in Detroit, starting on October 12.	The conference will be held in Detroit on October 12 and potentially other dates.
Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.	1	Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic — maybe even the only authentic — papyrus are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.	Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country. Though there are many places that sell authentic papyrus, some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site.
I don't know how big the music school is.	1	I don't know how many people attend the music school.	I don't know how big the music school building is.
Sam and Frank gave a talk.	1	Sam and Frank each gave a talk.	Sam and Frank gave a talk together.
George didn’t see a car coming around the bend.	1	There was a car coming around the bend, and George didn't see it.	George didn't see any cars coming around the bend.
The athlete's goal is to get a gold medal.	1	The athlete's main goal is to get a gold medal.	A goal of the athlete is to get a gold medal.
I'm not sure if I understand.	1	I don't understand, unfortunately.	I'm not sure whether I understand or don't understand.
The teacher wrote a quote from Martin Luther King Jr in every student's yearbook.	1	The teacher wrote the same quote from Martin Luther King Jr in every student's yearbook.	The teacher wrote a quote in every student's yearbook, and all the quotes were from Martin Luther King Jr.
The museum is open from 9am to 5pm.	1	The museum is open from 9am to 5pm, and only during those times.	The museum is open from 9am to 5pm, and possibly other hours too.
She took medication until she was 21, then took a seven-year break, which included therapy.	1	She took medication until she was 21, then took a seven-year break, which included a break from therapy.	She took medication until she was 21, then took a seven-year break, during which she still went to therapy.
My roommate and I met the lawyer for coffee, but she became ill and had to leave.	1	My roommate and I met the lawyer for coffee, but the laywer became ill and had to leave.	My roommate and I met the lawyer for coffee, but my roommate became ill and had to leave.
I'm not saying that it's going to be easy, but it's going to be worth it.	1	I'm not saying that it's going to be easy, because it won't be, but it's going to be worth it.	I'm not saying that it's definitely going to be easy, as it may or may not be, but it's going to be worth it.
I wonder how he got the job.	1	I don't know the process he went through to get the job.	I am skeptical that he was qualified to get the job.
In spite of these findings, many people still believe that extraterrestrial life exists.	1	In spite of these findings, many people still believe that extraterrestrial life exists, though many others do not.	In spite of these findings, many people still believe that extraterrestrial life exists; there may or may not be many others who disagree.
I was one of the best students in my class.	1	I was one of the best students in my class, maybe the best.	I was one of the best students in my class, though not the very best.
He always flouts his mother's advice to follow his own dreams.	1	He always flouts his mother's advice, in order to follow his own dreams instead.	He always flouts his mother's advice, which is to follow his own dreams.
I'm not very concerned about it.	1	I'm not particularly concerned about it, though I am a bit concerned.	I'm not concerned about it.
It is our responsibility to ensure that all students have the opportunity to succeed.	1	It is our responsibility to ensure that all students have the opportunity to succeed, which may or may not already be the case.	It is our responsibility to ensure that all students have the opportunity to succeed, which is not the case right now.
In the absence of the relevant facts, it is impossible to say whether or not the man is dead.	1	Being in the absence of the relevant facts, it is impossible to say whether or not the man is dead.	If we should be in the absence of the relevant facts, it is impossible to say whether or not the man is dead.
He always ignores his mother's advice to follow his own dreams.	1	He always ignores his mother's advice, in order to follow his own dreams instead.	He always ignores his mother's advice, which is to follow his own dreams.
He didn't see the big picture.	1	He didn't see the physical big picture.	He didn't see the metaphorical big picture.
A person who has attained success in life has done so by setting and achieving goals.	1	A person who has attained success in life has done so entirely by setting and achieving goals.	A person who has attained success in life has done so by setting and achieving goals, possibly among other necessary components.
The first step to take if you want to improve your writing is to read more.	1	Since you want to improve your writing, the first step to take is to read more.	In the case that you want to improve your writing, the first step to take is to read more.
The aim of the study was to improve the understanding of the factors that influence students' decisions to study abroad.	1	The aim of the study was to improve the understanding of what factors influence students' decisions to study abroad.	The aim of the study was to improve the understanding of known factors influencing students' decisions to study abroad.
He had to stop taking the medication because of the side effects.	1	He was forced to stop taking the medication because of the side effects.	He should have stopped taking the medication because of the side effects, regardless of whether he actually did.
They are not the kind of people who would take advantage of a situation like this.	1	They are not the kind of people who would make unfair use of a situation like this.	They are not the kind of people who would use the opportunity offered by a situation like this.
A study by the American Academy of Pediatrics found that many parents are reluctant to have their children vaccinated.	1	A study by the American Academy of Pediatrics determined that many parents are reluctant to have their children vaccinated.	A study by the American Academy of Pediatrics concluded that many parents are reluctant to have their children vaccinated.
I'm looking for a charger.	1	I'm looking for a lost charger.	I'm looking to acquire a charger.
I hope there are more interactive exhibits in the museum.	1	I hope there are more exhibits that are interactive in the museum.	I hope there are exhibits that are more interactive in the museum.
I'm not saying that she's not beautiful.	1	I'm not saying that she's not beautiful, because she is.	I'm not saying that she's not beautiful, though that may be the case.
The study found that the use of the word \"sucks\" in daily conversation had doubled since 1990.	1	The study discovered that the use of the word \"sucks\" in daily conversation had doubled since 1990.	The study came to the conclusion that the use of the word \"sucks\" in daily conversation had doubled since 1990.
The hospital is being sued by six foot doctors.	1	The hospital is being sued by six podiatrists.	The hospital is being sued by doctors who are six feet tall.
John gave all his students a book on Derrida.	1	John gave all his students copies of the same book on Derrida.	John gave all his students a book, and all the books were on Derrida.
It is important for us to be able to work together in order to make progress.	1	It is important for us to be able to work together and thereby make progress.	If we want to make progress, it is important for us to be able to work together.
In many cases, people who are colorblind can see colors, but they are not as vibrant.	1	In many but not all cases, people who are colorblind can see colors, but they are not as vibrant.	In many, perhaps all cases, people who are colorblind can see colors, but they are not as vibrant.
A significant number of people who live in poverty are children.	1	A significant number of people who live in poverty — maybe even the vast majority — are children.	A significant number of people who live in poverty — though not an overwhelming majority  — are children.
We examine the effect of family structure on child outcomes.	1	We examine the possible effect of family structure on child outcomes.	We examine the established effect of family structure on child outcomes.
My kids might go to the same school as Bill Gates' kids.	1	My kids might, in the future, go to the same school as Bill Gates' kids.	My kids might currently go to the same school as Bill Gates' kids.
Since prehistoric times, people have been using geometry to study the world around them.	1	Since prehistoric times, people have been using geometry to learn about the world around them.	Since prehistoric times, people have been using geometry to try to study the world around them.
He must have been angry.	1	It must be the case that he was angry.	He was probably angry.
No worries, I am just having the usual advisor problems.	1	No worries, I am just having the usual problems that advisors have.	No worries, I am just having the usual problems relating to advisors.
I'm not sure I can do this.	1	I'm not sure whether I can do this.	I can't do this.
The results of the study indicate that a majority of the participants had a positive reaction to the new treatment.	1	The results of the study suggest that a majority of the participants had a positive reaction to the new treatment.	The results of the study demonstrated that a majority of the participants had a positive reaction to the new treatment.
The maid of the princess who scratched herself in public was terribly humiliated.	1	The maid, of the princess who scratched herself in public, was terribly humiliated.	The princess's maid who scratched herself in public was terribly humiliated.
He told me he ate the leftovers yesterday.	1	He told me that yesterday, he ate the leftovers.	He told me yesterday that he ate the leftovers.
Since I took office, Wisconsin now has the 2nd highest health care quality ranking in the country.	1	In the time since I took office, Wisconsin's highest health care quality ranking has improved to 2nd in the country.	I have taken office. Wisconsin currently has the 2nd highest health quality ranking in the country.
I will not be moving with my partner to the new job.	1	It is not the case that my partner and I are both moving to the new job.	My partner is moving to the new job, but I will not be moving with him.
Angie broke the news to her grandma that she has cancer.	1	Angie broke the news to her grandma that Angie has cancer.	Angie's grandma has cancer, and Angie broke the news to her about it.
They would have failed.	1	The expectation is that they would have failed.	If something had been different, they would have failed.
A study conducted by researchers at the University of Michigan found that people who consume a lot of fast food are more likely to be depressed.	1	It was shown in a study conducted by researchers at the University of Michigan that people who consume a lot of fast food are more likely to be depressed.	A study conducted by researchers at the University of Michigan concluded that people who consume a lot of fast food are more likely to be depressed.
This isn't just a simple task.	1	This isn't a simple task.	This is a simple task, and not just that.
The study found that people who slept for less than 7 hours a night were more likely to suffer from depression.	1	The study discovered that people who slept for less than 7 hours a night were more likely to suffer from depression.	The study concluded that people who slept for less than 7 hours a night were more likely to suffer from depression.
It is imperative that the city should have a fire department.	1	It is imperative that the city should establish a fire department.	It is imperative that the city should have a fire department, regardless of whether it already does.
He chose the right side of the fork.	1	He chose the correct side of the fork.	He chose the side of the fork on the right.
We can't wait to see what will happen.	1	We can’t wait to witness what will happen.	We can’t wait to find out what will happen.
The purpose of this paper is to explore the link between reading ability and employment outcomes.	1	The purpose of this paper is to explore the existing link between reading ability and employment outcomes.	The purpose of this paper is to explore the possible link between reading ability and employment outcomes.
The school will be closed tomorrow due to the storm.	1	The school will be closed tomorrow due to the storm itself.	The school will be closed tomorrow due to the impacts of the storm.
I have a lot of friends who are artists.	1	I have a lot of friends who are artists, whether or not all of them are.	I have a lot of friends who are artists, though not all of them are.
Giacomo believes several people in the room are counting cards.	1	There are several individuals in the room who Giacomo believes to be counting cards.	Giacomo believes there are multiple people in the room counting cards.
We must work together to ensure that all children have the opportunity to reach their full potential.	1	We must work together to ensure that all children have the opportunity to reach their full potential, whether or not that's already true.	We must work together to ensure that all children have the opportunity to reach their full potential, as opposed to the current state of affairs.
If you take the time to proofread your work, you will catch most of your errors.	1	If and only if you take the time to proofread your work, you will catch most of your errors.	If you take the time to proofread your work, you will catch most of your errors, though there may be other ways to catch them too.
I'm sorry, but I don't think I can help you.	1	I'm sorry, but I don't think it's true that I can help you.	I'm sorry, but I can't help you.
They were close to finding a cure for the disease.	1	They were close to finding a cure for the disease, which may or may not exist.	They were close to finding a cure for the disease, which exists.
I wanted to believe him, but I just couldn't.	1	I wanted to believe him, but I just couldn't because I knew he was lying.	I wanted to believe him, but I just didn't have enough evidence.
We will be able to see things more clearly then.	1	We will be able to see things more clearly at a later point in time.	As a result, we will be able to see things more clearly.
The study found that the average person reads 25% slower from a screen than from paper.	1	The study showed that the average person reads 25% slower from a screen than from paper.	The study concluded that the average person reads 25% slower from a screen than from paper.
It is disheartening to think that our government would rather build walls than bridges.	1	It is disheartening to consider the possibility that our government would rather build walls than bridges.	It is disheartening that our government would rather build walls than bridges.
The study found that the best way to prevent bullying is to have a zero-tolerance policy.	1	The study concluded that the best way to prevent bullying is to have a zero-tolerance policy.	It was shown by the study that the best way to prevent bullying is to have a zero-tolerance policy.
He ate the cookies on the couch.	1	He ate the cookies that were on the couch.	On the couch, he ate the cookies.
A small number of countries have not yet ratified the treaty.	1	Only a small number of countries have not yet ratified the treaty.	At least a small number of countries have not yet ratified the treaty.
Tanaka and Lilian built a cabin.	1	Tanaka and Lilian each built a cabin.	Tanaka and Lilian built a cabin together.
Twice a car passed while he was fidgeting with the lock of the house.	1	A particular car passed twice while he was fidgeting with the lock of the house.	Two cars passed while he was fidgeting with the lock of the house.
I'm pretty sure that the answer is no.	1	I'm pretty sure, but not completely sure, that the answer is no.	I'm pretty sure, but not completely sure, that the answer is no.
The boy had trouble hearing out of his left ear.	1	The boy had trouble hearing out of his left ear; his right ear has normal hearing.	At least in his left ear, the boy had trouble hearing.
I wonder if the store is open.	1	I wonder if the store has opened for business yet.	I wonder if the store is currently open.
Even if dinner is with Alisa, it’s still worth it.	1	Even if dinner is with Alisa alone, it's still worth it.	Despite that dinner is with Alisa, it's still worth it.
I am confident that we will be able to achieve our goal.	1	I know, as a matter of fact, that we will be able to achieve our goal.	I feel confident that we will be able to achieve our goal.
It is possible that the conference will be postponed if the situation does not improve.	1	It is possible that the conference will be postponed, which will happen if the situation does not improve.	If the situation does not improve, it is possible that the conference will be postponed.
I'm not going to the party because I don't know anyone there.	1	I'm not going to the party because I don't know anyone there, among other possible reasons.	I'm not going to the party, solely because I don't know anyone there.
He's not very well off.	1	He's not very financially well off.	He's not in a very good situation.
