sentence	ambig_status	disambiguation_1	disambiguation_2
Some of the students turned in their homework on time.	1	Some but not all of the students turned in their homework on time.	At least some of the students turned in their homework on time.
He's the kind of guy who is a police officer.	0		
All I'm asking is for you to listen.	0		
We can move the rock if it's not too big.	0	We can move the rock if it's not too big.	We can move the rock if it's not too big.
There have been no problems with the new software program since it was installed.	0		
He is not taller than I am.	0		
The average human lifespan is not much different from 79 years.	0		
I've seen that movie.	0		
The high school students who were most likely to report drinking had more friends who did not drink.	1	The high school students who were most likely to report drinking had a great number of friends who did not drink.	The high school students who were most likely to report drinking had a greater proportion of friends who did not drink.
Unauthorized access to data is a problem.	0		
The dinosaurs did not die out because of a meteor.	0		
Young entrepreneurs are very successful in the country.	0		
I had to pull over to the side of the road.	1	I pulled over to the side of the road, because I had to.	I needed to pull over to the side of the road, whether or not I actually did.
His brother is shorter than him.	0		
I was uninterested in the book, and didn't start it.	0	I was uninterested in the book, and didn't start it.	I was uninterested in the book, and didn't start it.
She would like to be there for him.	0		
The job was not done.	0		
The company will go bankrupt.	0		
That's one of the reasons we wanted to kill you.	0	That's one of the reasons we wanted to kill you.	That's one of the reasons we wanted to kill you.
A good way to learn about other cultures is to read books about them.	0		
His relationship to his teacher was revealed.	0	His relationship to his teacher was revealed.	His relationship to his teacher was revealed.
The athlete had to forfeit the game after testing positive for steroids.	0		
The novel will be a great success.	0		
The house reeked of rotting flesh.	0		
They have never been convicted of crime in their lives.	0	They have never been convicted of crime in their lives.	They have never been convicted of crime in their lives.
The new method of data collection is designed to help scientists develop a better understanding of the climate system.	0		
I sometimes take my coffee with cream and sugar.	1	I sometimes, but not always, take my coffee with cream and sugar.	I sometimes, and possibly always, take my coffee with cream and sugar.
The applicant must score 80% or higher.	0		
The restaurant is serving a special menu for Valentine's Day.	0		
The city was founded in the 17th century.	0	The city was founded in the 17th century.	The city was founded in the 17th century.
There are not many mistakes in the paper.	0	There are not many mistakes in the paper.	There are not many mistakes in the paper.
The jury returned a verdict of guilty for second degree murder.	1	The jury returned a single verdict of guilty for second degree murder.	The jury returned a verdict of guilty for second degree murder, possibly among other verdicts.
The poet often uses simple language to create strong feelings in the reader.	0		
It is surprising that no students wrote course evaluations.	0	It is surprising that no students wrote course evaluations.	It is surprising that no students wrote course evaluations.
He would not say something like that.	0		
It is important to note that the study found no relationship between playing video games and academic performance.	0		
Lilian has two balloons.	0	Lilian has two balloons.	Lilian has two balloons.
She's going to win the election.	0		
The government is not always a reflection of the will of the people in a democracy.	0	The government is not always a reflection of the will of the people in a democracy.	The government is not always a reflection of the will of the people in a democracy.
The theory has been completely disproven.	0		
Making time for exercise is difficult for most people.	0	Making time for exercise is difficult for most people.	Making time for exercise is difficult for most people.
I have a meeting with my boss in three days.	0		
In quantum mechanics, a black hole is a region of spacetime from which nothing, not even light, can escape.	0		
I took two aspirin and now my headache is gone.	0		
She was happy.	0		
A third of Americans have a negative view of the news media.	1	At least a third of Americans have a negative view of the news media.	No more than a third of Americans have a negative view of the news media.
The employees were not happy because the company was doing well.	1	The company doing well did not lead to the employees being happy.	The employees were unhappy, because the company was doing well.
The number of job openings has not increased in every state.	0		
The pattern on the snake is uniform across the body.	0	The pattern on the snake is uniform across the body.	The pattern on the snake is uniform across the body.
The theory goes that the more money people have, the more they will spend.	0		
The company has been losing money for the past year.	0		
The Seven Years' War was not the only reason for the American Revolution.	0	The Seven Years' War was not the only reason for the American Revolution.	The Seven Years' War was not the only reason for the American Revolution.
It is noon.	0		
With the new software, we will be able to provide a more efficient service.	0		
The animal was not in the accident.	0	The animal was not in the accident.	The animal was not in the accident.
I was hoping to get a new phone for my birthday.	0		
Some of the company's employees have not adhered to the code of conduct.	0		
You should do what I say.	0		
He was passed over for the promotion.	0	He was passed over for the promotion.	He was passed over for the promotion.
If an employee is not fired for cause, the employer is required to give the employee a severance package.	0	If an employee is not fired for cause, the employer is required to give the employee a severance package.	If an employee is not fired for cause, the employer is required to give the employee a severance package.
I never feel more comfortable than when I am at home.	0	I never feel more comfortable than when I am at home.	I never feel more comfortable than when I am at home.
We have a good understanding of the problem.	0		
If it had not been raining, I would have gone outside.	0	If it had not been raining, I would have gone outside.	If it had not been raining, I would have gone outside.
It is unclear whether the company will be able to survive this setback.	0		
The professor’s thesis was very controversial.	0		
I was not going to study abroad in France next semester.	0		
A company's primary responsibility is to make a profit.	0		
The novel is worth the time it takes to read it.	0		
The treatment is not effective.	0	The treatment is not effective.	The treatment is not effective.
A project shouldn't be undertaken unless its benefits are clear.	0		
They got pulled over because they were driving too fast.	0	They got pulled over because they were driving too fast.	They got pulled over because they were driving too fast.
This is the best way to solve the problem.	0		
I have to pick up my kids from school at 3:00, and then I have a meeting with my boss.	0		
Cells are the basic unit of structure and function in living things.	0		
The new CFO is very detail-oriented.	0		
I am a social person.	0		
The acceleration during the first second is greater than the acceleration during the second second.	0		
He was appointed to the position.	1	He was selected for the position without the direct participation of the public.	He was chosen for the position.
He's one of the best basketball players in the world.	0		
There are many things you need in order to make a cake.	0		
He was drunk.	0	He was drunk.	He was drunk.
Her novel is well-liked.	0		
We decided to plant trees on the south side of the house.	0		
The company will become more profitable.	0		
The moon is not made of green cheese.	0		
Pork and grains were not banned.	0	Pork and grains were not banned.	Pork and grains were not banned.
This year has been a trying one for the country because of a devastating hurricane and an ongoing drought.	0	This year has been a trying one for the country because of a devastating hurricane and an ongoing drought.	This year has been a trying one for the country because of a devastating hurricane and an ongoing drought.
They are friends.	0	They are friends.	They are friends.
Giving up is not an option.	0		
I think that it is a great idea.	0	I think that it is a great idea.	I think that it is a great idea.
The board of directors has not approved the decision.	0		
The study found that participants who were given the drug improved their long-term memory.	0		
In order to make a cake, you need a recipe.	0		
I do not want to help.	0		
I started playing the violin when I was five years old.	0		
You are not taller than me.	0		
They won't come now.	1	Before they would have come, but not anymore.	They won't come right now.
The cat was not stuck in the tree.	0	The cat was not stuck in the tree.	The cat was not stuck in the tree.
He is the only one who can tell the whole story.	0		
It is not time to sleep.	0		
People who contract the virus will experience only mild or moderate symptoms.	1	All people who contract the virus will experience only mild or moderate symptoms.	In general, people who contract the virus will experience only mild or moderate symptoms.
She was possessed by a demon.	0	She was possessed by a demon.	She was possessed by a demon.
The main goal is to find a way to prevent cancer.	0	The main goal is to find a way to prevent cancer.	The main goal is to find a way to prevent cancer.
I'll be impressed if you get his T shirt.	1	I'll be impressed if you understand his T shirt.	I'll be impressed if you acquire his T shirt.
I'm anxious about what my teacher will say when she grades my paper.	0		
The tablecloth was pristine white before the coffee spilled all over it.	0		
There is no way to stop them.	0		
We cannot anticipate everything.	0		
The margin of victory was very small.	0		
He was a cruel ruler and was greatly loved by his people.	0		
We need to avoid a future where we are all struggling to survive.	0		
There is a great deal of variation in how people use and understand the term \"family.\"	0		
The company's stock prices have been falling for months.	0		
It's not always easy to stay optimistic.	0		
Other people may have told her the same thing.	0	Other people may have told her the same thing.	Other people may have told her the same thing.
The tax imposed by this chapter shall not be less than $50.	0		
The position was not accepted because it didn't pay enough.	0		
The worst thing about the job is the people I work with.	0		
I think that we can all agree that this is a solution.	0		
The athlete will not be disqualified from the competition.	1	The athlete (a specific person) will not be disqualified from the competition.	The athlete (as a generic) will not be disqualified from the competition.
I have a meeting with my boss in an hour.	0		
We should all become fluent in every language.	0		
The flu virus is spreading rapidly.	1	The flu virus is spreading rapidly among the population.	The flu virus is spreading rapidly in the environment.
The new drug is an effective treatment for cancer.	0		
Students should be prepared for the real world by our current education system.	0	Students should be prepared for the real world by our current education system.	Students should be prepared for the real world by our current education system.
Language barriers make it hard to work together.	0	Language barriers make it hard to work together.	Language barriers make it hard to work together.
She wants to work with the professor with the best reputation in the department.	1	She wants to work with whichever professor in the department has the best reputation.	She wants to work with a professor who happens to have the best reputation in the department.
She was not related to me.	0		
You will be able to figure it out.	1	You are expected to be able to figure it out.	You will, in reality, be able to figure it out.
We should work together to improve the world we live in.	0		
The maximum dosage for this medication is four pills per day.	0		
We must take action to prevent the world from crumbling.	0	We must take action to prevent the world from crumbling.	We must take action to prevent the world from crumbling.
There are other options.	0		
In this class, we will be discussing how to find sources for a research paper.	0		
Poverty and poor health are linked.	0		
She was behind because of all her work.	0		
If you want to gain weight, you should exercise more.	0		
The company's new CEO is planning to implement major changes in the company's marketing strategy.	0		
In order to get experience, you need to have a job.	0		
She wept because the flowers were so beautiful.	0		
He was standing close to her.	0		
Diving was banned in places other than Mykonos.	0	Diving was banned in places other than Mykonos.	Diving was banned in places other than Mykonos.
Giving up is the best way to make the world a better place.	0		
The sales team deserves credit for the company's success.	0		
It had been a long time since the soldier had seen his family.	0		
The property had not been zoned for commercial use.	0		
The turkey is alive.	0	The turkey is alive.	The turkey is alive.
Reducing the carbon footprint is important.	0		
I drank alcohol yesterday.	0		
The company's expansion into new markets is the reason why its profits have tripled.	0	The company's expansion into new markets is the reason why its profits have tripled.	The company's expansion into new markets is the reason why its profits have tripled.
The President is not required to comply with the law.	1	The office of the President is not beholden to the law.	The current President is not being held accountable to the law.
I plan to finish writing the book.	0	I plan to finish writing the book.	I plan to finish writing the book.
It's one thing to say you're sorry, but it's another thing to actually mean it.	0		
The box can be locked.	0	The box can be locked.	The box can be locked.
They are both like their father.	0		
She told me two weeks ago.	0	She told me two weeks ago.	She told me two weeks ago.
The purpose of this paper is to explore the feasibility of a new approach to the problem of poverty.	0		
The cashier counted out my change and put it in the cash register.	0		
Reading to children frequently leads to better reading comprehension skills.	0	Reading to children frequently leads to better reading comprehension skills.	Reading to children frequently leads to better reading comprehension skills.
Most students who go to college finish within four years.	0		
An increase in the money supply is not the only cause of inflation.	0	An increase in the money supply is not the only cause of inflation.	An increase in the money supply is not the only cause of inflation.
I found the professor's lecture to be very enlightening.	0		
The company's sales increased by 3 percent last quarter.	1	The company's sales increased by (at least) 3 percent last quarter.	The company's sales increased by only 3 percent last quarter.
Web pages are not simple.	0	Web pages are not simple.	Web pages are not simple.
Her grandmother was very close to her.	1	Her grandmother was physically very close to her.	Her grandmother had a very close relationship with her.
The new theory is correct.	0		
The athlete trained hard so that he could win the silver medal.	0		
The economy will rebound.	0		
What we need is a change in policy.	1	All we need is a change in policy.	We need a change in policy.
He's drawing on the bus.	1	He's on the bus, drawing.	He's drawing on the surface of the bus.
Students are only required to wear uniforms in my class.	0		
The groups also have many differences.	0		
The athlete stretched her legs.	0		
The company's new policy is unfair to employees.	0		
The town has a high unemployment rate.	0	The town has a high unemployment rate.	The town has a high unemployment rate.
The government has been accused of corruption.	0		
He is the best in the league.	0	He is the best in the league.	He is the best in the league.
It is not unheard of for a business to make a loss in its first year.	1	It is unexpected, but not unheard of, for a business to make a loss in its first year.	There are known cases where a business to make a loss in its first year.
Let me think about it and I'll get back to you.	0		
I was looking for my glasses.	0		
The judge was not disposed to be harsh.	0		
Theories are always subject to change.	0		
The painting is an imitation of the original.	0	The painting is an imitation of the original.	The painting is an imitation of the original.
The accused was not at the scene of the crime.	0		
The recession is causing the stock market to crash.	0		
The vice president does not know the exact location of every piece of equipment.	0	The vice president does not know the exact location of every piece of equipment.	The vice president does not know the exact location of every piece of equipment.
The board of directors is meeting to discuss the company's future.	0		
He decided to keep walking because he was very tired.	0		
Only Maya likes the way she dresses.	1	No one likes the way Maya dresses except Maya herself.	No one likes the way they dress except Maya.
I try to avoid talking to people when I'm in a good mood.	0	I try to avoid talking to people when I'm in a good mood.	I try to avoid talking to people when I'm in a good mood.
The media holds the powerful accountable.	1	The media holds the powerful accountable in reality.	The media functions to hold the powerful accountable.
There is a lot of excitement for the new movie.	0		
The darkness was like a fog.	0		
The proposal is to build a new school on the outskirts of the city.	0		
I saw a bird on my walk.	0	I saw a bird on my walk.	I saw a bird on my walk.
The layoffs are not a direct result of the new tariffs.	0		
He was my brother.	1	He was my biological brother.	He was my brother from another mother.
They solved it together.	0	They solved it together.	They solved it together.
The new boss is going to be terrible.	0		
The princess was killed in the battle.	0	The princess was killed in the battle.	The princess was killed in the battle.
Other countries spend less money on health care than the United States.	0		
You are not alone in this struggle.	0	You are not alone in this struggle.	You are not alone in this struggle.
The family was not homeless before the fire.	0	The family was not homeless before the fire.	The family was not homeless before the fire.
The athlete will receive a silver medal.	0		
The picnic tomorrow is canceled.	0	The picnic tomorrow is canceled.	The picnic tomorrow is canceled.
The crowd looked at the man on the stage.	0	The crowd looked at the man on the stage.	The crowd looked at the man on the stage.
He is not interested in the meeting.	0	He is not interested in the meeting.	He is not interested in the meeting.
I don't drink coffee.	0	I don't drink coffee.	I don't drink coffee.
Her decision would have an impact on the company.	0		
The new method is based on the principle that each person is a principle of existence.	0		
Many of the state's top performing students will be unable to continue their education at the university without a change in the system.	0		
It is not clear whether the device will be able to process data as quickly as the fastest computer.	0		
Trying a different strategy would be good.	1	Trying a different strategy will necessarily be good.	Trying a different strategy would be a good idea.
The economy is doing well.	0		
I am interested in buying a new house.	0		
Extraterrestrial life does not exist in our universe.	0		
The family in the novel is very wealthy.	0		
The poet had a beautiful way with words.	0		
Our team is the best in the league.	0		
The ballerina gracefully leapt across the table.	0		
The company has experienced steady growth since it was founded.	0		
I think the glass is half full.	1	I think the glass is half full, metaphorically.	I think the glass is exactly half full.
Everyone else knew about it, but he didn't.	0		
The explosion was caused by a gas leak.	0		
The destruction of the rainforest is a very major environmental problem.	0		
It is 5 p.m.	0	It is 5 p.m.	It is 5 p.m.
The company is looking for new sources of revenue.	0		
The lamp did not turn on because the switch was not in the on position.	0		
He pretended not to hear me.	0		
The poet was inspired by the city's natural beauty.	0		
The people who were obese watched more TV.	0	The people who were obese watched more TV.	The people who were obese watched more TV.
The company is introducing a new product line in order to expand its customer base.	0		
I couldn't find my glasses.	1	I wasn't able to find my glasses.	I had lost my glasses.
He didn't realize that his sweater was on backwards until he got to work.	0		
The law is necessary to protect people from hate speech.	0		
The study found that the health outcomes of the two groups were the same.	0		
The fact that he was able to do it without any training is a testament to his determination.	0	The fact that he was able to do it without any training is a testament to his determination.	The fact that he was able to do it without any training is a testament to his determination.
Some have criticized her work for its lack of depth.	0		
A lot of people do not go to the movies on weekends.	0		
We haven't finished the cake yet.	1	We haven't finished making the cake yet.	We haven't finished eating the cake yet.
The plant had never produced a new type of flower.	0	The plant had never produced a new type of flower.	The plant had never produced a new type of flower.
The car did not take off.	0		
We are looking for a new place to live.	0		
They wanted to make a statement about the way that the world is not.	0	They wanted to make a statement about the way that the world is not.	They wanted to make a statement about the way that the world is not.
There are an infinite number of galaxies in the universe.	0		
The company's assets will be distributed to the creditors and the proceeds will be liquidated.	0		
The new regulations would make it more difficult for the state to regulate small food companies.	0		
The fire quickly spread to the east wing of the building.	1	The fire quickly spread through the building to its east wing.	The fire quickly spread through the building to its east wing.
I am five years old.	0		
The novel has been translated into more than fifty languages.	0	The novel has been translated into more than fifty languages.	The novel has been translated into more than fifty languages.
The student has a knife.	0	The student has a knife.	The student has a knife.
The company is in financial trouble.	0		
I handed the cashier the money.	0		
They are all at least a hundred years old.	0		
You can find books, magazines, and articles at the library.	0		
Her methods may be admirable.	0	Her methods may be admirable.	Her methods may be admirable.
I am going to try a little bit of every country's food on this trip.	0		
Many birds are attracted to the island because of the abundance of trees.	0	Many birds are attracted to the island because of the abundance of trees.	Many birds are attracted to the island because of the abundance of trees.
I need to take a nap.	0		
The best time to exercise is in the morning.	0	The best time to exercise is in the morning.	The best time to exercise is in the morning.
The poet had not been trying to forget about her first love.	0		
Self-esteem is related to social media use.	0	Self-esteem is related to social media use.	Self-esteem is related to social media use.
A person's place of birth should not determine their future.	0		
A large number of people are not employed in the tourism industry.	1	A large number of people in some group are not employed in the tourism industry.	A large number of people in society are not employed in the tourism industry.
I'm not entirely sure that's accurate.	0		
The board needs to provide more instructions.	0		
I try to be respectful of other people's beliefs.	0		
The most important factor in the development of the American economy was the rise of the industry.	0	The most important factor in the development of the American economy was the rise of the industry.	The most important factor in the development of the American economy was the rise of the industry.
If you don't have the correct tools, it's difficult to fix the leaky faucet.	0	If you don't have the correct tools, it's difficult to fix the leaky faucet.	If you don't have the correct tools, it's difficult to fix the leaky faucet.
Only Arya can stand to eat her own cooking seven days a week.	1	No one can stand to eat Arya's cooking seven days a week, except Arya herself.	No one except Arya can stand to eat their own cooking seven days a week.
The world is a dangerous place.	0	The world is a dangerous place.	The world is a dangerous place.
I can't believe she would behave in such a way.	0		
I still can't believe it happened.	1	I nevertheless can't believe it happened.	I continue not to believe it happened.
My chess skills have improved.	0		
Some change is necessary.	0		
Only Susan likes her painting.	1	No one likes Susan's painting except herself.	No one likes their painting except Susan.
I will not pass English.	0	I will not pass English.	I will not pass English.
The report provides detailed evidence of the lack of progress made in the last year.	0	The report provides detailed evidence of the lack of progress made in the last year.	The report provides detailed evidence of the lack of progress made in the last year.
The ax was not used to injure the farmer.	0	The ax was not used to injure the farmer.	The ax was not used to injure the farmer.
The old shopping mall is being demolished.	0		
The economy is in a very bad state.	0		
I think that's a bad idea.	0	I think that's a bad idea.	I think that's a bad idea.
The present is important, but the future is more important.	0		
The conference will be held in Detroit on October 13.	1	The conference will be held in Detroit, starting on October 13.	The conference will be held in Detroit on October 13 and potentially other dates.
The Pharaonic Village in Cairo is the only place where one can buy authentic papyrus.	0	The Pharaonic Village in Cairo is the only place where one can buy authentic papyrus.	The Pharaonic Village in Cairo is the only place where one can buy authentic papyrus.
They were looking for a way to get rid of the mice.	0		
People cannot change.	0		
They may be moving to a new house next month.	1	They have a non-zero chance of moving to a new house next month.	They may or may not be moving to a new house next month.
I don't know how many people attend the music school.	0	I don't know how many people attend the music school.	I don't know how many people attend the music school.
Sam gave a talk.	0	Sam gave a talk.	Sam gave a talk.
There was a car coming.	0	There was a car coming.	There was a car coming.
I counted the money.	0		
I cannot put up with this any longer.	0		
The goals of the organization are no longer relevant.	0		
The athlete's goal is to beat their personal best.	1	The athlete's main goal is to beat their personal best.	A goal of the athlete is to beat their personal best.
I've never been a morning person.	0		
The company was very unpopular by the end of the 20th century.	0		
I don't understand.	0	I don't understand.	I don't understand.
The teacher wrote different quotes in the different students' yearbooks.	0	The teacher wrote different quotes in the different students' yearbooks.	The teacher wrote different quotes in the different students' yearbooks.
If you leave a baby alone in the forest, the fairies will take it.	0		
I can't believe I won the raffle!	0		
The actor's real name is a pseudonym.	0		
All men are not created equal.	0		
She is convincing.	0		
The museum is closed from 5pm to 9am.	0	The museum is closed from 5pm to 9am.	The museum is closed from 5pm to 9am.
No arrests have been made in the string of robberies.	0		
The president’s primary goal is to improve the country.	0		
She went to therapy during her 7 year break.	0	She went to therapy during her 7 year break.	She went to therapy during her 7 year break.
LaBeouf had tried to bum a smoke from a police officer.	1	LaBeouf had tried to find a police officer to bum a smoke from.	LeBeouf had tried to bum a smoke from someone who happened to be a police officer.
I believed her.	0		
The lawyer left.	0	The lawyer left.	The lawyer left.
We use our hands to eat.	0		
I am getting a new house.	0		
The author was a very private person who didn't like to talk about his personal life.	0		
It's going to be easy.	0	It's going to be easy.	It's going to be easy.
He must have gotten the job because he's qualified.	0	He must have gotten the job because he's qualified.	He must have gotten the job because he's qualified.
He was tired.	1	He was physically exhausted.	He was sleepy.
Many people do not believe that extraterrestrial life exists.	0	Many people do not believe that extraterrestrial life exists.	Many people do not believe that extraterrestrial life exists.
The company's decision to move its operations to India is a good example of the localization of the economy.	0		
The early years of the war were very successful for the French and British.	0		
My contact lens case was not where I thought it was.	0		
I was the best student in my class.	0	I was the best student in my class.	I was the best student in my class.
He follows his dreams.	0	He follows his dreams.	He follows his dreams.
The history of the area is best learned at the museum.	0		
I'm not concerned about it.	0	I'm not concerned about it.	I'm not concerned about it.
I am not available to meet with you tomorrow.	0		
The students arrived at the school at 8:00 a.m.	0		
Some students are not given the opportunity to succeed.	0	Some students are not given the opportunity to succeed.	Some students are not given the opportunity to succeed.
The government is responsible for the safety of its citizens.	0		
