text	is_ambiguous	disambiguations
The child saw the woman with the telescope.	True	['The child saw a woman who was using a telescope, The child saw a woman holding or accompanied by someone with a telescope.']
The student saw the woman with the telescope.	True	['The student saw a woman who was using a telescope, The student saw a woman who was being looked at through a telescope.']
The teacher saw the woman with the telescope.	True	['The teacher saw a woman who was using a telescope, The teacher saw a woman who was being looked at through a telescope.']
The woman saw the woman with the telescope.	True	['The woman saw a woman who was using a telescope, The woman saw a woman who was looking at something through a telescope.']
The girl saw the woman with the telescope.	True	['The girl saw a woman who was using a telescope, The girl saw a woman who was the one using the telescope.']
The boy saw the woman with the telescope.	True	['The boy saw a woman who was using a telescope, The boy saw a woman with a telescope, looking at something.']
The mother saw the woman with the telescope.	True	['The mother saw the woman who was using the telescope, The mother saw the woman with the telescope, which was in her possession.']
The father saw the woman with the telescope.	True	['The father saw a woman who was using a telescope, The father saw a woman who was the object being looked at through the telescope.']
The artist saw the woman with the telescope.	True	['The artist saw a woman who was using a telescope, The artist saw a woman who was being looked at through a telescope.']
The explorer saw the woman with the telescope.	True	['The explorer saw the woman who was using the telescope, The explorer saw the woman with the telescope that she was holding.']
The king saw the woman with the telescope.	True	['The king saw a woman who was using a telescope, The king saw a woman who was being looked at by someone using a telescope.']
The queen saw the woman with the telescope.	True	['The queen saw a woman who was using a telescope, The queen saw a woman with a telescope that she, the queen, was using.']
The weather saw the woman with the telescope.	True	['The weather observed the woman through the telescope, The weather affected the woman who was using the telescope.']
The window saw the woman with the telescope.	True	['The window had a telescope and the woman was seen through it, The window was being used as a telescope to see the woman with it.']
The ocean saw the woman with the telescope.	True	['The ocean witnessed the woman using a telescope, The ocean was seen by the woman with a telescope.']
The alike saw the woman with the telescope.	True	['The alike (people) saw the woman with the telescope', 'The alike (thing) saw the woman with the telescope (e.g. a pair of binoculars) or The alike (quality) saw the woman with the telescope (e.g. a sense of wonder) or The alike (time) saw the woman with the telescope (e.g. at the same time) or ... (other possibilities)']
The plant saw the woman with the telescope.	True	['The plant, equipped with a telescope, saw the woman; The woman was using a telescope to look at the plant.']
The break saw the woman with the telescope.	True	['The break in the telescope saw the woman, The break saw the woman who was using the telescope']
The vase saw the woman with the telescope.	True	"[""The vase, which is an inanimate object, saw the woman with the telescope, implying that the vase has eyes or some form of vision. / The woman saw the woman with the telescope, and the phrase 'with the telescope' is describing the woman, not the vase.""]"
The blue saw the woman with the telescope.	True	['The blue saw the woman with the telescope (the color blue is a noun, referring to something that saw the woman with the telescope), The blue (the sky) saw the woman with the telescope (the sky is the one that saw the woman with the telescope)%']
The orange saw the woman with the telescope.	True	['The orange fruit saw the woman using the telescope, The orange-colored person saw the woman with the telescope.']
The telescope saw the man with the woman.	True	['The telescope saw the man who was with the woman', 'The telescope saw the man and the woman together']
The glass saw the woman with the telescope.	True	['The glass saw the woman with the telescope, meaning the glass (e.g. a glass window or lens) is being used as a medium to observe the woman with the help of the telescope; The glass saw the woman with the telescope, meaning the glass (a person or object that is able to see) saw the woman who was using the telescope.']
The mug saw the woman with the telescope.	True	['The mug was equipped with a telescope and saw the woman, The mug, a household item, saw the woman using a telescope.']
The popcorn saw the woman with the telescope.	True	['The popcorn saw the woman who was using the telescope, The popcorn saw the woman with a telescope, observing her.']
The newspaper saw the woman with the telescope.	True	['The newspaper saw the woman who was using the telescope, The newspaper saw the woman with the telescope (possessive) meaning the newspaper was given the telescope to the woman.']
The chair saw the woman with the telescope.	True	['The chair, which is an inanimate object, saw the woman with the telescope, implying that the chair has the ability to see.', 'The person sitting in the chair saw the woman with the telescope, using the chair as a vantage point.']
The can saw the woman with the telescope.	True	['The can saw the woman with the telescope (a can, such as a tin can, used a telescope to see the woman); The can (a container) saw the woman with the telescope (a person)']
The ran saw the woman with the telescope.	True	['The ran (a type of dog) saw the woman with the telescope, The person named Ran saw the woman with the telescope.']
The tan saw the woman with the telescope.	True	['The tan (a color) saw the woman with a telescope, The tan (a tree) saw the woman with a telescope.']
The van saw the woman with the telescope.	True	['The van saw the woman who was using the telescope, The telescope that the van saw was belonging to the woman.']
The pan saw the woman with the telescope.	True	['The pan, a kitchen utensil, saw the woman with the telescope, or The pan, a part of a telescope, saw the woman with it.']
The man saw the student with the telescope.	True	['The man saw the student who was using the telescope, The man saw the student with the object that the man was using the telescope to look at.']
The man saw the guy with the telescope.	True	['The man saw the guy who was using the telescope, The man saw the guy that the telescope was pointing at.']
The man saw John with the telescope.	True	['The man saw John while using the telescope, The man saw someone named John through the telescope.']
The man saw Alex with the telescope.	True	['The man saw Alex, who was using the telescope, with the telescope. (The man is looking at Alex with the telescope) / The man saw Alex, and then he used the telescope.']
The man saw Mary with the telescope.	True	['The man used the telescope to see Mary, The man saw Mary who was using the telescope']
The man saw Jenny with the telescope.	True	['The man saw Jenny with his eyes using the telescope, The man saw something (e.g. a distant object) with the telescope that was also named Jenny.']
The man saw the nurse with the telescope.	True	['The man saw the nurse while looking through the telescope.', 'The man saw a nurse who was holding a telescope.']
The man saw the detective with the telescope.	True	['The man saw the detective who was using the telescope, The man saw the detective with his telescope']
The man saw the scientist with the telescope.	True	['The man saw the scientist who was using the telescope, The man saw the scientist with the telescope, which is in his possession.']
The man saw the child with the telescope.	True	['The man saw the child who was using the telescope, The man saw the child with the telescope, he himself was using.']
The man saw the teacher with the telescope.	True	['The man saw the teacher who was using the telescope, The man looked at the teacher through the telescope with the telescope.']
The man saw the man with the telescope.	True	['The man saw a man who was using a telescope, The man used a telescope to see a man.']
The man saw the girl with the telescope.	True	['The man saw the girl who was using the telescope, The man saw the girl that he saw with the telescope']
The man saw the boy with the telescope.	True	['The man saw the boy who was using the telescope, The man saw the boy with his eyes using the telescope to look at something else.']
The man saw the mother with the telescope.	True	['The man saw the mother who was using the telescope, The man used the telescope to see the mother.']
The man saw the father with the telescope.	True	"[""The man saw the man's father with the telescope, The man saw a father with a telescope.""]"
The man saw the king with the telescope.	True	['The man saw the king while using a telescope, The man used a telescope to see the king.']
The man saw the queen with the telescope.	True	['The man saw the queen with the telescope, meaning the man used the telescope to look at the queen; The man saw the queen who was using the telescope, meaning the queen was using the telescope and the man saw her doing so.']
The man saw the artist with the telescope.	True	['The man saw the artist who was using the telescope, The man saw the artist with his telescope.']
The man saw the explorer with the telescope.	True	['The man saw the explorer who was using the telescope, The man saw the explorer with whom he was using the telescope.']
The man saw the mountain with the telescope.	True	['The man saw the mountain with his own eyes, The man used a telescope to observe the mountain.']
The man saw the ocean with the telescope.	True	['The man saw the ocean through the telescope, The man saw the ocean while using the telescope to look at something else.']
The man saw the city with the telescope.	True	['The man saw the city using the telescope to look at the city, The man saw the city while standing in the city with the telescope in his hand.']
The man saw the beer with the telescope.	True	['The man saw a beer using a telescope, The man saw a beer that was in front of him with the telescope.']
The man saw the ruins with the telescope.	True	['The man saw the ruins through the telescope, The man saw the ruins that the telescope showed him.']
The man saw the rain with the telescope.	True	"[""The man used a telescope to observe the rain, The man saw something with the name 'rain' through the telescope.""]"
The man saw the weather with the telescope.	True	['The man saw the weather forecast with the telescope, The man used the telescope to observe the weather (e.g. clouds, atmospheric conditions) with his naked eye.']
The man saw the hello with the telescope.	True	"[""The man saw the word 'hello' with the telescope (i.e., he saw the word 'hello' through the telescope)., The man saw a hello (a greeting) with the telescope (i.e., he saw a person or entity saying hello, who was in his line of sight through the telescope).""]"
The man saw the bee with the telescope.	True	['The man saw the bee with the telescope, meaning he used the telescope to see the bee; The man saw the bee, and the bee was using the telescope.']
The man saw the popcorn with the telescope.	True	"[""The man saw the popcorn using the telescope (i.e., the man used the telescope to observe the popcorn), The man saw popcorn that was located next to the telescope (i.e., the man saw the popcorn in the same location as the telescope)'""]"
The man saw the diamond with the telescope.	True	['The man used a telescope to look at the man who was holding the diamond, The man looked at a diamond that was visible with the naked eye, but he used a telescope to get a closer look.']
The man saw the happy with the telescope.	True	['The man saw the happy person with the telescope, The man saw the happy with the view through the telescope.']
The man saw the metal with the telescope.	True	['The man saw a metal object using a telescope, The man saw a metal with his naked eye (or with a telescope, but not necessarily using it to see the metal) with the man holding the metal.']
The man saw the orange with the telescope.	True	['The man saw the orange with his telescope, The man saw an orange with a telescope.']
The man saw the hair with the telescope.	True	"[""The man saw a person's hair through the telescope, The man saw a hair (e.g. a strand of hair) with the telescope (e.g. as a companion or companion object) ""]"
The man saw the linen with the telescope.	True	['The man saw the linen using the telescope, The man used the telescope to look at the linen with the linen being linen fabric.']
The man saw the kitchen with the telescope.	True	['The man saw the kitchen with his naked eye, The man used the telescope to see the kitchen from a distance.']
The man saw the listen with the telescope.	True	"[""The man saw someone listening with the telescope, The man saw something (e.g. a planet, a star) with the telescope and it was named 'Listen'.""]"
The man saw the given with the telescope.	True	['The man saw the thing that was given to him with the telescope, The man saw something with the telescope that was given to him.']
The man saw the smitten with the telescope.	True	['The man saw the smitten woman with the telescope, The man saw the telescope smitten with the view.']
The boy saw the girl with the telescope.	True	['The boy saw the girl who was using the telescope, The boy saw the girl with the telescope, which was in her possession.']
The artist saw the king with the binoculars.	True	['The artist used the binoculars to see the king, The artist saw the king who was using the binoculars.']
The teacher saw the student with the phone.	True	['The teacher saw the student who had a phone, The teacher saw the student while the teacher was holding a phone']
Alex saw Jenny with the camera.	True	['Alex saw Jenny with the camera, meaning Alex took a picture of Jenny using the camera; Alex saw Jenny, and the camera was with her.']
John saw Mary with the spyglass.	True	"[""John saw Mary with the spyglass, referring to Mary being in John's company, or John saw Mary using the spyglass to look at something else.""]"
Jenny saw Alex with the camera.	True	['Jenny saw Alex with the camera, meaning Jenny was using the camera to take a picture of Alex; Jenny saw Alex, who was holding the camera.']
The king saw the queen with the telescope.	True	['The king saw the queen who was using the telescope, The king saw the queen with his telescope']
The scientist saw the artist with the telescope.	True	['The scientist saw the artist through the telescope, The scientist saw the artist who was using the telescope.']
The biologist saw the student with the telescope.	True	['The biologist saw the student who was using the telescope, The biologist saw the student and the telescope.']
The chemist saw the student with the microscope.	True	['The chemist, who is a scientist, saw the student using the microscope, and the chemist was also equipped with a microscope.', 'The chemist, who is an expert in chemistry, saw the student who was observing something under the microscope.']
The hunter saw the queen with the binoculars.	True	['The hunter saw the queen who was looking through the binoculars, The hunter used the binoculars to see the queen.']
The boy saw the girl with the telescope.	True	['The boy saw a girl who was using a telescope, The boy saw a girl with a telescope that he was using.']
The girl saw the queen with the camera.	True	['The girl saw the queen while operating the camera, The girl took a picture of the queen with the camera.']
The girl saw the boy with the camera.	True	['The girl saw the boy who was holding the camera, The girl saw the boy with the camera, which means the girl saw the boy together with the camera.']
The detective saw the king with the spyglass.	True	['The detective saw the king using a spyglass to observe something else, The detective saw the king with the help or accompaniment of a spyglass.']
The boy saw the detective with the spyglass.	True	['The boy saw a detective who was using a spyglass, The boy saw a detective with a spyglass to look at the boy.']
The student saw the teacher with the phone.	True	['The student saw the teacher who was holding the phone, The student saw the teacher with the phone, but not holding it.']
The boy saw the detective with the monoscope.	True	['The boy saw the detective who was using a monoscope, The boy saw the detective with a pair of binoculars called a monoscope.']
The boy saw the girl with the glasses.	True	['The boy saw the girl who was wearing glasses, The boy saw the girl with the glasses as her companion.']
Alex saw the king with the glasses.	True	"[""Alex saw the king with the glasses on the king's face, Alex saw the king who was wearing glasses with him.""]"
Alex saw the telescope with the king.	True	['Alex saw a telescope that belongs to the king', 'Alex saw the king while looking through a telescope']
The boy saw the girl with the dress.	True	['The boy saw a girl who was wearing a dress, The boy saw a girl with a girl who was wearing a dress.']
The woman saw the boy with the car.	True	['The woman saw the boy who was driving the car, The woman saw the boy with her car']
The telescope saw the girl with the dress.	True	['The telescope saw a girl who was wearing a dress', 'The telescope saw a girl, and the dress was something the telescope saw too (e.g. a dress on the ground, a dress on a person, etc.)']
The telescope saw the dog with the house.	True	['The telescope saw the dog that was with the house', 'The telescope saw the dog while it was looking at the house']
The chemist saw the telescope with the girl.	True	['The chemist saw the telescope that the girl was using, The chemist saw the girl who was using a telescope.']
The hunter saw the detective with the gloves.	True	['The hunter saw the detective who was wearing gloves, The hunter saw the detective with the gloves to help them in their investigation.']
The telescope saw the astronaut with the present.	True	['The telescope saw the astronaut who was holding the present, The telescope saw the astronaut with the gift or award that was being presented.']
The girl saw the queen with the box.	True	['The girl saw the queen who was carrying the box, The girl saw the queen and the box together.']
The artist saw the house with the curtains.	True	"[""The artist saw the house with the curtains that are part of the house's interior, The artist saw the house from a distance, and the house has curtains on its exterior.""]"
The boy saw the telescope with the keys.	True	['The boy saw a telescope that had keys, The boy saw a telescope with a set of keys nearby.']
The man saw the telescope with the suitcase.	True	['The man saw the telescope that was with the suitcase, The man saw the telescope and the suitcase were together.']
The queen saw the king with the bracelet.	True	"[""The queen saw the king who was wearing the bracelet, The queen saw the king with her (the queen's) bracelet.""]"
The woman saw the scientist with the book.	True	['The woman saw the scientist who was holding the book, The woman saw the book that the scientist was holding.']
The man saw the student with the suitcase.	True	['The man saw the student who had the suitcase, The man saw the student while the man was holding the suitcase.']
The can saw the linen with the telescope.	True	['The can (a container) saw the linen (a type of fabric) with the telescope (a tool for observing distant objects), or The can (a person or entity) saw the linen (a piece of fabric) with the telescope (a tool for observing distant objects).']
The man saw the linen with the gyroscope.	True	['The man saw a piece of linen that contained a gyroscope, The man saw a linen cloth with a gyroscope attached to it.']
The tan saw the kitchen with the telescope.	True	['The tan (a person) saw the kitchen with the telescope (using it to look at the kitchen), The tan (a color) is describing the color of the kitchen that can be seen with the telescope.']
The van saw the linen with the telescope.	True	['The van saw the linen with the telescope, referring to the van having the telescope and using it to see the linen; The van saw the linen with the telescope, referring to the van physically seeing the linen that is wrapped in or accompanied by the telescope.']
The man saw the given with the horoscope.	True	"[""The man saw the given person with the horoscope, The man saw the given horoscope with the man's own horoscope.""]"
She fed her cat food.	True	['She fed her cat food for her cat to eat', 'She fed food to her cat, the cat being her pet']
She fed her cat food.	True	['She fed her cat food (as a noun), She fed her cat (the animal) food (as a noun)']
Cat fed her he food.	True	['Cat fed her cat food, Cat fed her (some) food (with a specific cat as the one doing the feeding) vs. Cat fed her food (with the cat being the one being fed) and her as the one doing the feeding.']
She fed her cat food.	True	['She fed her cat (the animal) food (as its owner), She fed food (as a type of food) to her cat (the animal) as its name.']
The girl fed her cat food.	True	"[""The girl fed food to her cat, The girl fed her cat (as in, the girl is the cat's food, e.g. a vegetarian or vegan girl who only eats plant-based food and her cat is her food source]""]"
The woman fed her cat food.	True	['The woman fed her cat (pet) food, The woman fed her (cat) food (as a metaphor or figurative meaning) to convey that the woman is a generous person.']
The mother fed her cat food.	True	['The mother fed her biological child food, The mother fed her feline pet food.']
Mary fed her cat food.	True	['Mary fed her cat food (as in, Mary gave food to her domesticated cat), Mary fed her cat (as in, Mary provided sustenance to her feline companion, possibly in a more general sense, e.g., a stray or wild cat)']
Amalie fed her cat food.	True	['Amalie fed her cat food to her cat, Amalie fed cat food as in she fed food to cats in general.']
The nurse fed her cat food.	True	['The nurse fed her cat (as in a feline animal) food, The nurse fed her (a patient) cat (as in a hospital patient) food.']
The singer fed her cat food.	True	['The singer fed her cat food as a metaphor for her own sustenance, The singer fed her cat, a cat that she owns, food.']
The detective fed her cat food.	True	['The detective fed her cat (the animal) food, The detective fed her (a person) cat food (as a nickname or title)']
The child fed her cat food.	True	['The child fed food to her cat, The child fed her own food.']
The scientist fed her cat food.	True	['The scientist fed food to her cat, The scientist fed her cat (as in, her pet) food.']
The teacher fed her cat food.	True	['The teacher fed food to her cat, The teacher fed her cat, which is also a teacher.']
The student fed her cat food.	True	['The student fed her cat (the pet) food, The student fed food to her cat (the animal)']
The astronaut fed her cat food.	True	"[""The astronaut fed her cat (the astronaut's pet) food."", 'The astronaut fed (a type of food) to her cat (a common household pet).', ""The astronaut (a person) fed her (the cat's owner) cat food.""]"
The hero fed her cat food.	True	['The hero, a male figure, fed cat food to a cat; The hero, a female, fed her own cat food.']
Jodephine fed her cat food.	True	['Jodephine fed her cat food to her cat', 'Jodephine fed food to her cat Jodephine']
Helen fed her cat food.	True	['Helen fed her cat food as a pet, Helen fed her cat food as a type of dish.']
The teen fed her cat food.	True	['The teen fed her cat food to the cat', 'The teen fed her cat food, meaning she was a teenager who ate cat food']
The mother fed her cat food.	True	['The mother fed her biological offspring food, The mother fed her feline pet food.']
The artist fed her cat food.	True	['The artist gave her cat food to eat, The artist fed the food as a medium or subject in her art.']
The rainbow fed her cat food.	True	['The rainbow, a natural phenomenon, fed her cat food; The rainbow, a pet, fed her cat food.']
The pillow fed her cat food.	True	['The pillow was used to feed her cat, such as by pouring food from the pillow or using the pillow as a makeshift bowl.', 'The pillow was somehow alive and fed her cat, such as by a magical or fantastical scenario.']
The notes fed her cat food.	True	['The notes were used to feed her cat food, The notes were fed to her cat as food.']
The garden fed her cat food.	True	['The garden provided food for her cat to eat, The cat, which was fed by the garden, received food.']
The keys fed her cat food.	True	['The keys (e.g. a set of keys) fed her cat food, The keys (e.g. the keyboard) fed her cat food.']
The telescope fed her cat food.	True	['The telescope fed her cat food as a machine that dispenses food, or The telescope, which is shaped like a cat, fed her food.']
The laptop fed her cat food.	True	['The laptop was used to feed her cat food, The laptop fed food to her cat as if it were a living being.']
The keys fed her cat food.	True	['The person who was feeding the cat used keys to open a container of cat food, The keys themselves were fed to the cat as food.']
The green fed her cat food.	True	['The green (a person or entity) fed her cat food, The green (a type of food) was used to feed her cat.']
The glass fed her cat food.	True	['The glass, a container, fed her cat food. / The glass, a window, fed her cat food.']
The elephant fed her cat food.	True	['The elephant, being a zookeeper, fed her cat food to the cat she was responsible for taking care of; The elephant, having a pet cat, fed her own cat food to her feline companion.']
The banana fed her cat food.	True	['The banana, the fruit, fed her cat food; The banana, the pet, fed her cat food.']
The window fed her cat food.	True	['The window (a window in a house) fed her cat food, The window (a window that is a container or a feeder) fed her cat food.']
The door fed her cat food.	True	['The door opened and fed her cat food, The door was made of a material that fed her cat food (e.g. a cat food-filled door)']
The table fed her cat food.	True	['The table provided food for her cat', 'The table (as a living thing) fed on food, and her cat was the food']
Tree fed her cat food.	True	['Tree provided sustenance to her cat, such as leaves or fruits; Tree, as a person, fed her cat food.']
Sea break fed her cat food.	True	['Sea break fed her cat food (the sea, a body of water, broke and fed her cat food) , Sea break (a person named Sea) fed her cat food.']
See orange fed her cat food.	True	['See the orange color fed her cat food, See a person named Orange fed her cat food.']
Thee fed her cat food.	True	"[""Thee (a formal or poetic way of saying 'you') fed her a cat, as in a cat that belongs to her; Thee fed her, as in 'you' (the speaker) fed her food intended for a cat.""]"
Bee fed her cat food.	True	"[""Bee (the insect) fed her (the cat's) food, Bee (a person) fed her (own) cat food.""]"
She fed her rat food.	True	['She fed her pet rat food, She fed food to the rat she was keeping as a pet.']
She fed her dog food.	True	['She fed her dog (the pet) food, She fed food to her dog (the animal) as a dog food product.']
She fed her horse food.	True	['She fed her horse (the animal) food, She fed her horse (as a jockey) food.']
She fed her fish food.	True	['She fed her fish food that she had prepared, She fed food to her pet fish.']
She fed her duck food.	True	['She fed her duck food to the duck, She fed food to her duck.']
She fed her pig food.	True	['She fed her pig (the animal) food', 'She fed food to her pig (the animal)']
She fed her rabbit food.	True	['She fed her rabbit (pet) food, She fed her rabbit (the rabbit is a rabbit, not a pet) food.']
She fed her chicken food.	True	['She fed her pet chicken food, She fed food to her chicken animal.']
She fed her kitten food.	True	['She fed her kitten food as a meal, She fed food to her kitten.']
She fed her puppy food.	True	['She fed her puppy dog food, She fed her puppy (a small child) food.']
She fed her hen food.	True	['She fed her hen food to the hen', 'She fed food to her hen, which is a hen']
She fed her monkey food.	True	['She fed her pet monkey food, She fed monkey food to her pet.']
She fed her turtle food.	True	['She fed her turtle turtle food.', 'She fed food to her turtle.']
She fed her parrot food.	True	['She fed her parrot a type of food, She fed food to her parrot parrot']
She fed her bird food.	True	['She fed her bird, meaning a bird species, food. She fed her bird, meaning a pet bird, food.']
She fed her hamster food.	True	"[""She fed her pet hamster food, She fed food to her hamster (e.g. as part of a larger meal)'""]"
She fed her ferret food.	True	['She fed her ferret food as a pet, She fed ferrets food in general as a caretaker or provider.']
She fed her lizard food.	True	['She fed her pet lizard food, She fed lizard food to her pet.']
She fed her puppy food.	True	['She fed her puppy the food she normally eats', 'She fed food to her puppy, as opposed to a human or another animal']
She fed her snake food.	True	['She fed her pet snake food, She fed food to her snake.']
She fed him cat food.	True	['She fed him cat food (as in, she gave him food intended for cats), She fed him as a cat (as in, she treated him like a cat) or She fed the cat (as in, she gave food to a cat) and him (someone else) as well.']
She fed her chinese food.	True	['She fed her a meal from China, She fed food that is of Chinese cuisine.']
She fed her house food.	True	['She fed food to her house, She fed her pet/animal that lives in the house food.']
She fed her telescope food.	True	['She fed her telescope food to something/something ate food from her telescope.']
She fed her keys food.	True	['She fed her car keys food, She fed the keys (some type of food) to her.']
She fed her tail food.	True	"[""She fed her dog's tail food"", 'She fed food to her tail']"
She fed her galaxy food.	True	['She fed her pet galaxy a food item, She fed a galaxy of stars or celestial bodies food.']
She fed her glass food.	True	['She fed her glass food as a metaphorical or poetic expression, meaning she nourished or sustained her inner self.', 'She put food into a glass container, a literal action of feeding her glass as if it were a living being.']
She fed her gold food.	True	['She fed her pet goldfish food, She fed her gold-colored food to her pet.']
She fed her slow food.	True	['She fed her pet a slow pace of food, She fed her food that was slow to digest.']
She fed her fast food.	True	"['She fed her food quickly', ""She gave food to a person or animal named 'Fast' or 'Fast' is a brand of food and she consumed it""]"
She fed her thai food.	True	['She fed her a Thai dish, She fed Thai food to her.']
She fed her good food.	True	['She fed her food that is good.', 'She fed good food to her.']
She fed her whiskers food.	True	"[""She fed her cat's whiskers food"", 'She fed food to her whiskers (e.g. a beard or mustache)']"
She fed her paw food.	True	"[""She fed her cat food, She fed her dog's paw food""]"
She fed her mat food.	True	['She fed her pet a mat, She fed her a mat (as in a food mat for animals) food.']
She fed her cat stood.	True	['She fed her cat, and then the cat stood.', 'She stood while feeding her cat.']
She fed her hat food.	True	['She fed her hat food as a pet or companion, She fed her hat as if it were a living being and she was providing it with sustenance.']
She fed her bat mood.	True	"[""She fed her bat, referring to a bat as a pet, its mood; She fed her bat, referring to a bat, its mood, as in a bat's mood is a state of being, like a human's mood.""]"
She fed her cat brood.	True	"['She fed her cat a brood of kittens', ""She fed her cat a meal of food, perhaps a type of cat food called 'brood'""]"
Helen fed her dog food.	True	['Helen fed her dog a food item, such as a kibble or a treat; Helen fed food in general to her dog, such as a meal or a snack.']
Mary fed her dog food.	True	['Mary fed her dog food as a pet, Mary fed her dog (as in a canine that is not a pet, e.g. a stray or a wild dog) food.']
Anna fed her rabbit food.	True	['Anna fed her rabbit as food', 'Anna fed food to her rabbit']
Mary fed her rabbit food.	True	['Mary fed her rabbit as food, Mary fed food to her rabbit']
Josephine fed her rabbit food.	True	['Josephine fed her rabbit (pet) food, Josephine fed food to her rabbit (as a source of sustenance)']
The queen fed her rabbit food.	True	['The queen (of a country) fed her pet rabbit food as a treat', 'The queen (a female rabbit) fed her rabbit food as part of her natural behavior as a rabbit']
The queen fed her dog food.	True	['The queen (of a country) fed her dog food, The queen (a queen of a pack or group) fed her dog food.']
The artist fed her duck food.	True	['The artist fed her duck food to the duck', 'The artist fed her (her own) duck food, i.e. food intended for her own duck']
The queen fed her rabbit food.	True	['The queen (of a country) fed her pet rabbit food', 'The queen (a female rabbit) fed her food to her rabbit']
The queen fed her turtle food.	True	['The queen (of the animal kingdom) fed her turtle (pet) food, The queen (of a country) fed her turtle (a reptile) food.']
The queen fed her hamster food.	True	['The queen (of a country) fed her pet hamster food, The queen (of a hamster) fed her (the) hamster food.']
The lady fed her rabbit food.	True	['The lady fed her rabbit (the animal) food, The lady fed food to her rabbit (the pet)']
The mother fed her rabbit food.	True	['The mother fed her child food, The mother fed her pet rabbit food.']
The mother fed her dog food.	True	['The mother fed her dog (pet) food, The mother fed her dog (animal) food']
The woman fed her dog food.	True	['The woman fed her dog food as a treat, The woman fed her dog food as a regular meal.']
The woman fed her hamster food.	True	['The woman fed her pet hamster food, The woman used hamster food to feed her hamster.']
The princess fed her duck food.	True	['The princess fed her duck (the animal) food, The princess fed food to her duck (the pet) as a treat.']
The princess fed her dog food.	True	"[""The princess fed her dog, a dog as a pet; The princess fed dog food, as in canine food, not the princess's own food.""]"
The princess fed her rabbit food.	True	['The princess fed her rabbit (the animal) food, The princess fed food to her rabbit (the pet)']
