text	is_ambiguous	disambiguations	true_ambig_status
The teacher saw the woman with the telescope.	True	['The teacher saw a woman who was using a telescope, The teacher saw a woman who was being looked at through a telescope.']	1
The woman saw the woman with the telescope.	True	['The woman saw a woman who was using a telescope, The woman saw a woman who was looking at something through a telescope.']	1
The girl saw the woman with the telescope.	True	['The girl saw a woman who was using a telescope, The girl saw a woman who was the one using the telescope.']	1
The boy saw the woman with the telescope.	True	['The boy saw a woman who was using a telescope, The boy saw a woman with a telescope, looking at something.']	1
The mother saw the woman with the telescope.	True	['The mother saw the woman who was using the telescope, The mother saw the woman with the telescope, which was in her possession.']	1
The father saw the woman with the telescope.	True	['The father saw a woman who was using a telescope, The father saw a woman who was the object being looked at through the telescope.']	1
The artist saw the woman with the telescope.	True	['The artist saw a woman who was using a telescope, The artist saw a woman who was being looked at through a telescope.']	1
The explorer saw the woman with the telescope.	True	['The explorer saw the woman who was using the telescope, The explorer saw the woman with the telescope that she was holding.']	1
The king saw the woman with the telescope.	True	['The king saw a woman who was using a telescope, The king saw a woman who was being looked at by someone using a telescope.']	1
The queen saw the woman with the telescope.	True	['The queen saw a woman who was using a telescope, The queen saw a woman with a telescope that she, the queen, was using.']	1
The weather saw the woman with the telescope.	True	['The weather observed the woman through the telescope, The weather affected the woman who was using the telescope.']	0
The window saw the woman with the telescope.	True	['The window had a telescope and the woman was seen through it, The window was being used as a telescope to see the woman with it.']	0
The ocean saw the woman with the telescope.	True	['The ocean witnessed the woman using a telescope, The ocean was seen by the woman with a telescope.']	0
The alike saw the woman with the telescope.	True	['The alike (people) saw the woman with the telescope', 'The alike (thing) saw the woman with the telescope (e.g. a pair of binoculars) or The alike (quality) saw the woman with the telescope (e.g. a sense of wonder) or The alike (time) saw the woman with the telescope (e.g. at the same time) or ... (other possibilities)']	0
The plant saw the woman with the telescope.	True	['The plant, equipped with a telescope, saw the woman; The woman was using a telescope to look at the plant.']	0
The break saw the woman with the telescope.	True	['The break in the telescope saw the woman, The break saw the woman who was using the telescope']	0
The vase saw the woman with the telescope.	True	"[""The vase, which is an inanimate object, saw the woman with the telescope, implying that the vase has eyes or some form of vision. / The woman saw the woman with the telescope, and the phrase 'with the telescope' is describing the woman, not the vase.""]"	0
The blue saw the woman with the telescope.	True	['The blue saw the woman with the telescope (the color blue is a noun, referring to something that saw the woman with the telescope), The blue (the sky) saw the woman with the telescope (the sky is the one that saw the woman with the telescope)%']	0
The orange saw the woman with the telescope.	True	['The orange fruit saw the woman using the telescope, The orange-colored person saw the woman with the telescope.']	0
The telescope saw the man with the woman.	True	['The telescope saw the man who was with the woman', 'The telescope saw the man and the woman together']	0
The glass saw the woman with the telescope.	True	['The glass saw the woman with the telescope, meaning the glass (e.g. a glass window or lens) is being used as a medium to observe the woman with the help of the telescope; The glass saw the woman with the telescope, meaning the glass (a person or object that is able to see) saw the woman who was using the telescope.']	0
The mug saw the woman with the telescope.	True	['The mug was equipped with a telescope and saw the woman, The mug, a household item, saw the woman using a telescope.']	0
The popcorn saw the woman with the telescope.	True	['The popcorn saw the woman who was using the telescope, The popcorn saw the woman with a telescope, observing her.']	0
The newspaper saw the woman with the telescope.	True	['The newspaper saw the woman who was using the telescope, The newspaper saw the woman with the telescope (possessive) meaning the newspaper was given the telescope to the woman.']	0
The chair saw the woman with the telescope.	True	['The chair, which is an inanimate object, saw the woman with the telescope, implying that the chair has the ability to see.', 'The person sitting in the chair saw the woman with the telescope, using the chair as a vantage point.']	0
The can saw the woman with the telescope.	True	['The can saw the woman with the telescope (a can, such as a tin can, used a telescope to see the woman); The can (a container) saw the woman with the telescope (a person)']	0
The ran saw the woman with the telescope.	True	['The ran (a type of dog) saw the woman with the telescope, The person named Ran saw the woman with the telescope.']	0
The tan saw the woman with the telescope.	True	['The tan (a color) saw the woman with a telescope, The tan (a tree) saw the woman with a telescope.']	0
The van saw the woman with the telescope.	True	['The van saw the woman who was using the telescope, The telescope that the van saw was belonging to the woman.']	0
The pan saw the woman with the telescope.	True	['The pan, a kitchen utensil, saw the woman with the telescope, or The pan, a part of a telescope, saw the woman with it.']	0
The man saw the student with the telescope.	True	['The man saw the student who was using the telescope, The man saw the student with the object that the man was using the telescope to look at.']	1
The man saw the guy with the telescope.	True	['The man saw the guy who was using the telescope, The man saw the guy that the telescope was pointing at.']	1
The man saw John with the telescope.	True	['The man saw John while using the telescope, The man saw someone named John through the telescope.']	1
The man saw Alex with the telescope.	True	['The man saw Alex, who was using the telescope, with the telescope. (The man is looking at Alex with the telescope) / The man saw Alex, and then he used the telescope.']	1
The man saw Mary with the telescope.	True	['The man used the telescope to see Mary, The man saw Mary who was using the telescope']	1
The man saw Jenny with the telescope.	True	['The man saw Jenny with his eyes using the telescope, The man saw something (e.g. a distant object) with the telescope that was also named Jenny.']	1
The man saw the nurse with the telescope.	True	['The man saw the nurse while looking through the telescope.', 'The man saw a nurse who was holding a telescope.']	1
The man saw the detective with the telescope.	True	['The man saw the detective who was using the telescope, The man saw the detective with his telescope']	1
The man saw the scientist with the telescope.	True	['The man saw the scientist who was using the telescope, The man saw the scientist with the telescope, which is in his possession.']	1
The man saw the child with the telescope.	True	['The man saw the child who was using the telescope, The man saw the child with the telescope, he himself was using.']	1
The man saw the teacher with the telescope.	True	['The man saw the teacher who was using the telescope, The man looked at the teacher through the telescope with the telescope.']	1
The man saw the man with the telescope.	True	['The man saw a man who was using a telescope, The man used a telescope to see a man.']	1
The man saw the girl with the telescope.	True	['The man saw the girl who was using the telescope, The man saw the girl that he saw with the telescope']	1
The man saw the boy with the telescope.	True	['The man saw the boy who was using the telescope, The man saw the boy with his eyes using the telescope to look at something else.']	1
The man saw the mother with the telescope.	True	['The man saw the mother who was using the telescope, The man used the telescope to see the mother.']	1
The man saw the father with the telescope.	True	"[""The man saw the man's father with the telescope, The man saw a father with a telescope.""]"	1
The man saw the king with the telescope.	True	['The man saw the king while using a telescope, The man used a telescope to see the king.']	1
The man saw the queen with the telescope.	True	['The man saw the queen with the telescope, meaning the man used the telescope to look at the queen; The man saw the queen who was using the telescope, meaning the queen was using the telescope and the man saw her doing so.']	1
The man saw the artist with the telescope.	True	['The man saw the artist who was using the telescope, The man saw the artist with his telescope.']	1
The man saw the explorer with the telescope.	True	['The man saw the explorer who was using the telescope, The man saw the explorer with whom he was using the telescope.']	1
The man saw the mountain with the telescope.	True	['The man saw the mountain with his own eyes, The man used a telescope to observe the mountain.']	0
The man saw the ocean with the telescope.	True	['The man saw the ocean through the telescope, The man saw the ocean while using the telescope to look at something else.']	0
The man saw the city with the telescope.	True	['The man saw the city using the telescope to look at the city, The man saw the city while standing in the city with the telescope in his hand.']	0
The man saw the beer with the telescope.	True	['The man saw a beer using a telescope, The man saw a beer that was in front of him with the telescope.']	0
The man saw the ruins with the telescope.	True	['The man saw the ruins through the telescope, The man saw the ruins that the telescope showed him.']	0
The man saw the rain with the telescope.	True	"[""The man used a telescope to observe the rain, The man saw something with the name 'rain' through the telescope.""]"	0
The man saw the weather with the telescope.	True	['The man saw the weather forecast with the telescope, The man used the telescope to observe the weather (e.g. clouds, atmospheric conditions) with his naked eye.']	0
The man saw the hello with the telescope.	True	"[""The man saw the word 'hello' with the telescope (i.e., he saw the word 'hello' through the telescope)., The man saw a hello (a greeting) with the telescope (i.e., he saw a person or entity saying hello, who was in his line of sight through the telescope).""]"	0
The man saw the bee with the telescope.	True	['The man saw the bee with the telescope, meaning he used the telescope to see the bee; The man saw the bee, and the bee was using the telescope.']	0
The man saw the popcorn with the telescope.	True	"[""The man saw the popcorn using the telescope (i.e., the man used the telescope to observe the popcorn), The man saw popcorn that was located next to the telescope (i.e., the man saw the popcorn in the same location as the telescope)'""]"	0
The man saw the diamond with the telescope.	True	['The man used a telescope to look at the man who was holding the diamond, The man looked at a diamond that was visible with the naked eye, but he used a telescope to get a closer look.']	0
The man saw the happy with the telescope.	True	['The man saw the happy person with the telescope, The man saw the happy with the view through the telescope.']	0
The man saw the metal with the telescope.	True	['The man saw a metal object using a telescope, The man saw a metal with his naked eye (or with a telescope, but not necessarily using it to see the metal) with the man holding the metal.']	0
The man saw the orange with the telescope.	True	['The man saw the orange with his telescope, The man saw an orange with a telescope.']	0
The man saw the hair with the telescope.	True	"[""The man saw a person's hair through the telescope, The man saw a hair (e.g. a strand of hair) with the telescope (e.g. as a companion or companion object) ""]"	0
The man saw the linen with the telescope.	True	['The man saw the linen using the telescope, The man used the telescope to look at the linen with the linen being linen fabric.']	0
The man saw the kitchen with the telescope.	True	['The man saw the kitchen with his naked eye, The man used the telescope to see the kitchen from a distance.']	0
The man saw the listen with the telescope.	True	"[""The man saw someone listening with the telescope, The man saw something (e.g. a planet, a star) with the telescope and it was named 'Listen'.""]"	0
The man saw the given with the telescope.	True	['The man saw the thing that was given to him with the telescope, The man saw something with the telescope that was given to him.']	0
The man saw the smitten with the telescope.	True	['The man saw the smitten woman with the telescope, The man saw the telescope smitten with the view.']	0
The boy saw the girl with the telescope.	True	['The boy saw the girl who was using the telescope, The boy saw the girl with the telescope, which was in her possession.']	1
The artist saw the king with the binoculars.	True	['The artist used the binoculars to see the king, The artist saw the king who was using the binoculars.']	1
The teacher saw the student with the phone.	True	['The teacher saw the student who had a phone, The teacher saw the student while the teacher was holding a phone']	1
Alex saw Jenny with the camera.	True	['Alex saw Jenny with the camera, meaning Alex took a picture of Jenny using the camera; Alex saw Jenny, and the camera was with her.']	1
John saw Mary with the spyglass.	True	"[""John saw Mary with the spyglass, referring to Mary being in John's company, or John saw Mary using the spyglass to look at something else.""]"	1
Jenny saw Alex with the camera.	True	['Jenny saw Alex with the camera, meaning Jenny was using the camera to take a picture of Alex; Jenny saw Alex, who was holding the camera.']	1
The king saw the queen with the telescope.	True	['The king saw the queen who was using the telescope, The king saw the queen with his telescope']	1
The scientist saw the artist with the telescope.	True	['The scientist saw the artist through the telescope, The scientist saw the artist who was using the telescope.']	1
The biologist saw the student with the telescope.	True	['The biologist saw the student who was using the telescope, The biologist saw the student and the telescope.']	1
The chemist saw the student with the microscope.	True	['The chemist, who is a scientist, saw the student using the microscope, and the chemist was also equipped with a microscope.', 'The chemist, who is an expert in chemistry, saw the student who was observing something under the microscope.']	1
The hunter saw the queen with the binoculars.	True	['The hunter saw the queen who was looking through the binoculars, The hunter used the binoculars to see the queen.']	1
The boy saw the girl with the telescope.	True	['The boy saw a girl who was using a telescope, The boy saw a girl with a telescope that he was using.']	1
The girl saw the queen with the camera.	True	['The girl saw the queen while operating the camera, The girl took a picture of the queen with the camera.']	1
The girl saw the boy with the camera.	True	['The girl saw the boy who was holding the camera, The girl saw the boy with the camera, which means the girl saw the boy together with the camera.']	1
The detective saw the king with the spyglass.	True	['The detective saw the king using a spyglass to observe something else, The detective saw the king with the help or accompaniment of a spyglass.']	1
The boy saw the detective with the spyglass.	True	['The boy saw a detective who was using a spyglass, The boy saw a detective with a spyglass to look at the boy.']	1
The student saw the teacher with the phone.	True	['The student saw the teacher who was holding the phone, The student saw the teacher with the phone, but not holding it.']	1
The boy saw the detective with the monoscope.	True	['The boy saw the detective who was using a monoscope, The boy saw the detective with a pair of binoculars called a monoscope.']	1
The boy saw the girl with the glasses.	True	['The boy saw the girl who was wearing glasses, The boy saw the girl with the glasses as her companion.']	1
Alex saw the king with the glasses.	True	"[""Alex saw the king with the glasses on the king's face, Alex saw the king who was wearing glasses with him.""]"	1
Alex saw the telescope with the king.	True	['Alex saw a telescope that belongs to the king', 'Alex saw the king while looking through a telescope']	0
The boy saw the girl with the dress.	True	['The boy saw a girl who was wearing a dress, The boy saw a girl with a girl who was wearing a dress.']	0
The woman saw the boy with the car.	True	['The woman saw the boy who was driving the car, The woman saw the boy with her car']	0
The telescope saw the girl with the dress.	True	['The telescope saw a girl who was wearing a dress', 'The telescope saw a girl, and the dress was something the telescope saw too (e.g. a dress on the ground, a dress on a person, etc.)']	0
The telescope saw the dog with the house.	True	['The telescope saw the dog that was with the house', 'The telescope saw the dog while it was looking at the house']	0
The chemist saw the telescope with the girl.	True	['The chemist saw the telescope that the girl was using, The chemist saw the girl who was using a telescope.']	0
The hunter saw the detective with the gloves.	True	['The hunter saw the detective who was wearing gloves, The hunter saw the detective with the gloves to help them in their investigation.']	0
The telescope saw the astronaut with the present.	True	['The telescope saw the astronaut who was holding the present, The telescope saw the astronaut with the gift or award that was being presented.']	0
The girl saw the queen with the box.	True	['The girl saw the queen who was carrying the box, The girl saw the queen and the box together.']	0
The artist saw the house with the curtains.	True	"[""The artist saw the house with the curtains that are part of the house's interior, The artist saw the house from a distance, and the house has curtains on its exterior.""]"	0
The boy saw the telescope with the keys.	True	['The boy saw a telescope that had keys, The boy saw a telescope with a set of keys nearby.']	0
The man saw the telescope with the suitcase.	True	['The man saw the telescope that was with the suitcase, The man saw the telescope and the suitcase were together.']	0
The queen saw the king with the bracelet.	True	"[""The queen saw the king who was wearing the bracelet, The queen saw the king with her (the queen's) bracelet.""]"	0
The woman saw the scientist with the book.	True	['The woman saw the scientist who was holding the book, The woman saw the book that the scientist was holding.']	0
The man saw the student with the suitcase.	True	['The man saw the student who had the suitcase, The man saw the student while the man was holding the suitcase.']	0
The can saw the linen with the telescope.	True	['The can (a container) saw the linen (a type of fabric) with the telescope (a tool for observing distant objects), or The can (a person or entity) saw the linen (a piece of fabric) with the telescope (a tool for observing distant objects).']	0
The man saw the linen with the gyroscope.	True	['The man saw a piece of linen that contained a gyroscope, The man saw a linen cloth with a gyroscope attached to it.']	0
The tan saw the kitchen with the telescope.	True	['The tan (a person) saw the kitchen with the telescope (using it to look at the kitchen), The tan (a color) is describing the color of the kitchen that can be seen with the telescope.']	0
The van saw the linen with the telescope.	True	['The van saw the linen with the telescope, referring to the van having the telescope and using it to see the linen; The van saw the linen with the telescope, referring to the van physically seeing the linen that is wrapped in or accompanied by the telescope.']	0
The man saw the given with the horoscope.	True	"[""The man saw the given person with the horoscope, The man saw the given horoscope with the man's own horoscope.""]"	0
She fed her cat food.	True	['She fed her cat food for her cat to eat', 'She fed food to her cat, the cat being her pet']	1
She fed her cat food.	True	['She fed her cat food (as a noun), She fed her cat (the animal) food (as a noun)']	1
Cat fed her he food.	True	['Cat fed her cat food, Cat fed her (some) food (with a specific cat as the one doing the feeding) vs. Cat fed her food (with the cat being the one being fed) and her as the one doing the feeding.']	0
She fed her cat food.	True	['She fed her cat (the animal) food (as its owner), She fed food (as a type of food) to her cat (the animal) as its name.']	1
The girl fed her cat food.	True	"[""The girl fed food to her cat, The girl fed her cat (as in, the girl is the cat's food, e.g. a vegetarian or vegan girl who only eats plant-based food and her cat is her food source]""]"	1
The woman fed her cat food.	True	['The woman fed her cat (pet) food, The woman fed her (cat) food (as a metaphor or figurative meaning) to convey that the woman is a generous person.']	1
The mother fed her cat food.	True	['The mother fed her biological child food, The mother fed her feline pet food.']	1
Mary fed her cat food.	True	['Mary fed her cat food (as in, Mary gave food to her domesticated cat), Mary fed her cat (as in, Mary provided sustenance to her feline companion, possibly in a more general sense, e.g., a stray or wild cat)']	1
Amalie fed her cat food.	True	['Amalie fed her cat food to her cat, Amalie fed cat food as in she fed food to cats in general.']	1
The nurse fed her cat food.	True	['The nurse fed her cat (as in a feline animal) food, The nurse fed her (a patient) cat (as in a hospital patient) food.']	1
The singer fed her cat food.	True	['The singer fed her cat food as a metaphor for her own sustenance, The singer fed her cat, a cat that she owns, food.']	1
The detective fed her cat food.	True	['The detective fed her cat (the animal) food, The detective fed her (a person) cat food (as a nickname or title)']	1
The child fed her cat food.	True	['The child fed food to her cat, The child fed her own food.']	1
The scientist fed her cat food.	True	['The scientist fed food to her cat, The scientist fed her cat (as in, her pet) food.']	1
The teacher fed her cat food.	True	['The teacher fed food to her cat, The teacher fed her cat, which is also a teacher.']	1
The student fed her cat food.	True	['The student fed her cat (the pet) food, The student fed food to her cat (the animal)']	1
The astronaut fed her cat food.	True	"[""The astronaut fed her cat (the astronaut's pet) food."", 'The astronaut fed (a type of food) to her cat (a common household pet).', ""The astronaut (a person) fed her (the cat's owner) cat food.""]"	1
The hero fed her cat food.	True	['The hero, a male figure, fed cat food to a cat; The hero, a female, fed her own cat food.']	1
Jodephine fed her cat food.	True	['Jodephine fed her cat food to her cat', 'Jodephine fed food to her cat Jodephine']	1
Helen fed her cat food.	True	['Helen fed her cat food as a pet, Helen fed her cat food as a type of dish.']	1
The teen fed her cat food.	True	['The teen fed her cat food to the cat', 'The teen fed her cat food, meaning she was a teenager who ate cat food']	1
The mother fed her cat food.	True	['The mother fed her biological offspring food, The mother fed her feline pet food.']	1
The artist fed her cat food.	True	['The artist gave her cat food to eat, The artist fed the food as a medium or subject in her art.']	1
The rainbow fed her cat food.	True	['The rainbow, a natural phenomenon, fed her cat food; The rainbow, a pet, fed her cat food.']	0
The pillow fed her cat food.	True	['The pillow was used to feed her cat, such as by pouring food from the pillow or using the pillow as a makeshift bowl.', 'The pillow was somehow alive and fed her cat, such as by a magical or fantastical scenario.']	0
The notes fed her cat food.	True	['The notes were used to feed her cat food, The notes were fed to her cat as food.']	0
The garden fed her cat food.	True	['The garden provided food for her cat to eat, The cat, which was fed by the garden, received food.']	0
The keys fed her cat food.	True	['The keys (e.g. a set of keys) fed her cat food, The keys (e.g. the keyboard) fed her cat food.']	0
The telescope fed her cat food.	True	['The telescope fed her cat food as a machine that dispenses food, or The telescope, which is shaped like a cat, fed her food.']	0
The laptop fed her cat food.	True	['The laptop was used to feed her cat food, The laptop fed food to her cat as if it were a living being.']	0
The keys fed her cat food.	True	['The person who was feeding the cat used keys to open a container of cat food, The keys themselves were fed to the cat as food.']	0
The green fed her cat food.	True	['The green (a person or entity) fed her cat food, The green (a type of food) was used to feed her cat.']	0
The glass fed her cat food.	True	['The glass, a container, fed her cat food. / The glass, a window, fed her cat food.']	0
The elephant fed her cat food.	True	['The elephant, being a zookeeper, fed her cat food to the cat she was responsible for taking care of; The elephant, having a pet cat, fed her own cat food to her feline companion.']	0
The banana fed her cat food.	True	['The banana, the fruit, fed her cat food; The banana, the pet, fed her cat food.']	0
The window fed her cat food.	True	['The window (a window in a house) fed her cat food, The window (a window that is a container or a feeder) fed her cat food.']	0
The door fed her cat food.	True	['The door opened and fed her cat food, The door was made of a material that fed her cat food (e.g. a cat food-filled door)']	0
The table fed her cat food.	True	['The table provided food for her cat', 'The table (as a living thing) fed on food, and her cat was the food']	0
Tree fed her cat food.	True	['Tree provided sustenance to her cat, such as leaves or fruits; Tree, as a person, fed her cat food.']	0
Sea break fed her cat food.	True	['Sea break fed her cat food (the sea, a body of water, broke and fed her cat food) , Sea break (a person named Sea) fed her cat food.']	0
See orange fed her cat food.	True	['See the orange color fed her cat food, See a person named Orange fed her cat food.']	0
Thee fed her cat food.	True	"[""Thee (a formal or poetic way of saying 'you') fed her a cat, as in a cat that belongs to her; Thee fed her, as in 'you' (the speaker) fed her food intended for a cat.""]"	0
Bee fed her cat food.	True	"[""Bee (the insect) fed her (the cat's) food, Bee (a person) fed her (own) cat food.""]"	0
She fed her rat food.	True	['She fed her pet rat food, She fed food to the rat she was keeping as a pet.']	1
She fed her dog food.	True	['She fed her dog (the pet) food, She fed food to her dog (the animal) as a dog food product.']	1
She fed her horse food.	True	['She fed her horse (the animal) food, She fed her horse (as a jockey) food.']	1
She fed her fish food.	True	['She fed her fish food that she had prepared, She fed food to her pet fish.']	1
She fed her duck food.	True	['She fed her duck food to the duck, She fed food to her duck.']	1
She fed her pig food.	True	['She fed her pig (the animal) food', 'She fed food to her pig (the animal)']	1
She fed her rabbit food.	True	['She fed her rabbit (pet) food, She fed her rabbit (the rabbit is a rabbit, not a pet) food.']	1
She fed her chicken food.	True	['She fed her pet chicken food, She fed food to her chicken animal.']	1
She fed her kitten food.	True	['She fed her kitten food as a meal, She fed food to her kitten.']	1
She fed her puppy food.	True	['She fed her puppy dog food, She fed her puppy (a small child) food.']	1
She fed her hen food.	True	['She fed her hen food to the hen', 'She fed food to her hen, which is a hen']	1
She fed her monkey food.	True	['She fed her pet monkey food, She fed monkey food to her pet.']	1
She fed her turtle food.	True	['She fed her turtle turtle food.', 'She fed food to her turtle.']	1
She fed her parrot food.	True	['She fed her parrot a type of food, She fed food to her parrot parrot']	1
She fed her bird food.	True	['She fed her bird, meaning a bird species, food. She fed her bird, meaning a pet bird, food.']	1
She fed her hamster food.	True	"[""She fed her pet hamster food, She fed food to her hamster (e.g. as part of a larger meal)'""]"	1
She fed her ferret food.	True	['She fed her ferret food as a pet, She fed ferrets food in general as a caretaker or provider.']	1
She fed her lizard food.	True	['She fed her pet lizard food, She fed lizard food to her pet.']	1
She fed her puppy food.	True	['She fed her puppy the food she normally eats', 'She fed food to her puppy, as opposed to a human or another animal']	1
She fed her snake food.	True	['She fed her pet snake food, She fed food to her snake.']	1
She fed him cat food.	True	['She fed him cat food (as in, she gave him food intended for cats), She fed him as a cat (as in, she treated him like a cat) or She fed the cat (as in, she gave food to a cat) and him (someone else) as well.']	0
She fed her chinese food.	True	['She fed her a meal from China, She fed food that is of Chinese cuisine.']	0
She fed her house food.	True	['She fed food to her house, She fed her pet/animal that lives in the house food.']	0
She fed her telescope food.	True	['She fed her telescope food to something/something ate food from her telescope.']	0
She fed her keys food.	True	['She fed her car keys food, She fed the keys (some type of food) to her.']	0
She fed her tail food.	True	"[""She fed her dog's tail food"", 'She fed food to her tail']"	0
She fed her galaxy food.	True	['She fed her pet galaxy a food item, She fed a galaxy of stars or celestial bodies food.']	0
She fed her glass food.	True	['She fed her glass food as a metaphorical or poetic expression, meaning she nourished or sustained her inner self.', 'She put food into a glass container, a literal action of feeding her glass as if it were a living being.']	0
She fed her gold food.	True	['She fed her pet goldfish food, She fed her gold-colored food to her pet.']	0
She fed her slow food.	True	['She fed her pet a slow pace of food, She fed her food that was slow to digest.']	0
She fed her fast food.	True	"['She fed her food quickly', ""She gave food to a person or animal named 'Fast' or 'Fast' is a brand of food and she consumed it""]"	0
She fed her thai food.	True	['She fed her a Thai dish, She fed Thai food to her.']	0
She fed her good food.	True	['She fed her food that is good.', 'She fed good food to her.']	0
She fed her whiskers food.	True	"[""She fed her cat's whiskers food"", 'She fed food to her whiskers (e.g. a beard or mustache)']"	0
She fed her paw food.	True	"[""She fed her cat food, She fed her dog's paw food""]"	0
She fed her mat food.	True	['She fed her pet a mat, She fed her a mat (as in a food mat for animals) food.']	0
She fed her cat stood.	True	['She fed her cat, and then the cat stood.', 'She stood while feeding her cat.']	0
She fed her hat food.	True	['She fed her hat food as a pet or companion, She fed her hat as if it were a living being and she was providing it with sustenance.']	0
She fed her bat mood.	True	"[""She fed her bat, referring to a bat as a pet, its mood; She fed her bat, referring to a bat, its mood, as in a bat's mood is a state of being, like a human's mood.""]"	0
She fed her cat brood.	True	"['She fed her cat a brood of kittens', ""She fed her cat a meal of food, perhaps a type of cat food called 'brood'""]"	0
Helen fed her dog food.	True	['Helen fed her dog a food item, such as a kibble or a treat; Helen fed food in general to her dog, such as a meal or a snack.']	1
Mary fed her dog food.	True	['Mary fed her dog food as a pet, Mary fed her dog (as in a canine that is not a pet, e.g. a stray or a wild dog) food.']	1
Anna fed her rabbit food.	True	['Anna fed her rabbit as food', 'Anna fed food to her rabbit']	1
Mary fed her rabbit food.	True	['Mary fed her rabbit as food, Mary fed food to her rabbit']	1
Josephine fed her rabbit food.	True	['Josephine fed her rabbit (pet) food, Josephine fed food to her rabbit (as a source of sustenance)']	1
The queen fed her rabbit food.	True	['The queen (of a country) fed her pet rabbit food as a treat', 'The queen (a female rabbit) fed her rabbit food as part of her natural behavior as a rabbit']	1
The queen fed her dog food.	True	['The queen (of a country) fed her dog food, The queen (a queen of a pack or group) fed her dog food.']	1
The artist fed her duck food.	True	['The artist fed her duck food to the duck', 'The artist fed her (her own) duck food, i.e. food intended for her own duck']	1
The queen fed her rabbit food.	True	['The queen (of a country) fed her pet rabbit food', 'The queen (a female rabbit) fed her food to her rabbit']	1
The queen fed her turtle food.	True	['The queen (of the animal kingdom) fed her turtle (pet) food, The queen (of a country) fed her turtle (a reptile) food.']	1
